Unnamed: 0,latitude,longitude,ID,Филиал,Вид,Тип,Наименование пункта пропуска_y,Установлен / закрыт,Функционирует/не функционирует,84 приоритетные,Причины не функционирования,Распорядок работы,Классификация по виду международного сообщения,Дополнительная классификация по виду международного сообщения,Классификация по характеру международного сообщения,Классификация по режиму работы,Классификация по статусу,Классификация по пропуску,"Специализация: для ввоза на территорию РФ  животных, продукции животного происхождения, кормов, кормовых добавок, лекарственных средств для животных и подкарантинной продукции (подкарантинного материала, подкарантинного груза) (ПП РФ от 07.07.2011 № 557)","Специализация: для ввоза на территорию Российской  Федерации товаров, химических, биологических и радиоактивных веществ, отходов и иных грузов, представляющих опасность для человека (ПП РФ от 03.06.2011 № 442)","Специализация: для ввоза на территорию Российской Федерации пищевых продуктов, материалов и изделий (ПП РФ от 03.06.2011 № 442)",Сопредельное государство,Сопредельный пункт пропуска,Федеральный округ,Субъект РФ,Адрес,Принадлежность дороги,"Номер, название дороги",Группы АВС ,Рейтинг Приоритизации 2019 ,Направление МТК,Принадлежность к МТК,ГТС в сутки (по паспорту),ПТС в сутки (по паспорту),ЛТС в сутки (по паспорту),Всего ТС в сутки (по паспорту),Лиц в сутки (по паспорту),Грузы в сутки (по паспорту),ГТС в год (по паспорту),ПТС в год (по паспорту),ЛТС в год (по паспорту),Всего ТС в год (по паспорту),Лица в год (по паспорту),Грузы в год (по паспорту),ГТС 2017 (факт),ПТС 2017 (факт),ЛТС 2017 (факт),Всего ТС (ж.д. составы) за 2017 год (факт),ГТС 2018 (факт),ПТС 2018 (факт),ЛТС 2018 (факт),Всего ТС (ж.д. составы) за 2018 год (факт),ГТС 2019 (факт),ПТС 2019 (факт),ЛТС 2019 (факт),Всего ТС (ж.д. составы) за 2019 год (факт),ГТС 2020 (факт),ПТС 2020 (факт),ЛТС 2020 (факт),Всего ТС (ж.д. составы) за 2020 год (факт),ГТС 2021 (факт),ПТС 2021 (факт),ЛТС 2021 (факт),Всего ТС (ж.д. составы) за 2021 год (факт),ГТС 2022 (факт),ПТС 2022 (факт),ЛТС 2022 (факт),Всего ТС (ж.д. составы) за 2022 год (факт),Лица 2017 (факт),Лица 2018 (факт),Лица 2019 (факт),Лица 2020 (факт),Лица 2021 (факт),Лица 2022 (факт),"Грузы 2017, тонн (факт)","Грузы 2018, тонн (факт)","Грузы 2019, тонн (факт)","Грузы 2020, тонн (факт)","Грузы 2021, тонн (факт)","Грузы 2022, тонн (факт)",Пограничный контроль,Таможенный контроль,Санитарно-карантинный контроль,Ветеринарный контроль,Карантинный фитосанитарный контроль,Транспортный контроль,Сосед
44,56.356309,28.197336,МАППБурачкиСЗФО,Псковский,АПП,МАПП,Бурачки,установлен,да,да,функционирует,круглосуточно,автомобильный,не определен,грузо-пассажирский,постоянный,многосторонний,не определен,да,нет,да,Латвийская Республика,Терехово,СЗФО,Псковская область,"Псковская область, Себежский район, д. Бурачки, 650 км, федеральной трассы ""Балтия"" М9",федеральная,М-9 ,Группа А,122,Сухопутный,Западный,300,80,1620,2000,4000,0.0,109500,29200,591300,730000,1460000,0.0,141165,1824,189746,332735,147843,1976,188993,338812,138230,1731,155014,294975,130798,448,43830,175076,135512,258,15834,151604,108878,1873,37905,148656,563537,600641,573848,242729,181985,366808,1526036.0,1694584.0,1850529.518,1760232.0,1859072.0,1284658.0,да,да,да,да,да,да,Латвийская Республика
45,53.796262,61.157583,ЖДППБускульскийУФО,Уральский,ЖДПП,ЖДПП,Бускульский,установлен,нет,нет,Установлен в 2020 году. Будет открыт после проведения мероприятий по обустройству за счет внебюджетных источников финансирования,не определен,железнодорожный,не определен,грузовой,работающий на нерегулярной основе,двусторонний,не определен,нет,нет,нет,Республика Казахстан,Бускуль,УФО,Челябинская область,не определен,0,0,не определена,0,Не является признаком отнесения к МТК,Не является признаком отнесения к МТК,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,нет,нет,нет,нет,нет,нет,Республика Казахстан
46,60.840635,28.378262,ЖДППБусловскаяСЗФО,Санкт-Петербургский,ЖДПП,ЖДПП,Бусловская,установлен,да,нет,функционирует,круглосуточно,железнодорожный,не определен,грузо-пассажирский,постоянный,многосторонний,не определен,да,да,да,Финляндская Республика,Вайниккала,СЗФО,Ленинградская область,"Ленинградская область, Выборгский район, станция Бусловская",0,0,Группа А,5,Сухопутный,Западный,24,0,0,24,0,0.0,8760,0,0,8760,0,0.0,5675,0,0,5675,5770,0,0,5770,5834,0,0,5834,5330,0,0,5330,7425,687,0,8112,2651,0,0,2651,11226,11551,11694,10887,10985,7667,7233573.0,6633618.0,8085422.0,8471037.0,8630798.0,5752045.0,да,да,да,да,да,нет,Финляндская Республика
47,50.078024,38.176687,ДАППВалуйкиЦФО,Белгородский,АПП,ДАПП,Валуйки,установлен,да,нет,В связи с односторонним принятием сопредельной стороной решения (постановление Кабинета министров Украины от 18.02.2015 № 106)  пропуск через государственную границу Российской Федерации временно не осуществляется. Пункт пропуска не обустраивался,круглосуточно,автомобильный,не определен,грузо-пассажирский,постоянный,двусторонний,не определен,нет,нет,нет,не применимо (ЛНР),Демино-Александровка,ЦФО,Белгородская область,"Белгородская область, Валуйский район, в 2,5 км. восточнее п. Уразово на автодороге «Уразово - Викторополь»",межмуниципальная,"14.ОП.МЗ.Н-180 ""Уразово-Герасимовка-Конотоповка""-граница Украины-Викторополь",Группа С,252,Сухопутный,Западный,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20062,6855,16002,42919,57,0,0,0,0,190765,0.0,0.0,0.0,0.0,0.0,0.0,да,да,да,да,да,да,нет
48,50.200012,38.120155,ЖДППВалуйкиЦФО,Белгородский,ЖДПП,ЖДПП,Валуйки,установлен,да,нет,функционирует,круглосуточно,железнодорожный,не определен,грузо-пассажирский,постоянный,многосторонний,не определен,да,да,да,не применимо (ЛНР),Тополи,ЦФО,Белгородская область,"Белгородская область, г. Валуйки, железнодорожная станция Валуйки, пл. Привокзальная, д. 1",0,0,Группа В,119,Сухопутный,Западный,0,0,0,0,0,0.0,0,0,0,0,0,0.0,14630,143,0,14773,13418,112,0,13530,10746,97,0,10843,9218,19,0,9237,9080,0,0,9080,1264,0,0,1264,70854,60248,53781,23322,22569,4977,26118250.0,23833700.0,16997500.0,16855650.0,31469900.0,2674300.0,да,да,да,да,да,нет,нет
49,49.088733,140.266393,МППВаниноДФО,Хабаровский,МПП,МПП,Ванино,установлен,да,да,функционирует,круглосуточно,морской,не определен,грузовой,постоянный,многосторонний,не определен,да,да,да,не применимо,не применимо,ДФО,Хабаровский край,"Хабаровский край, Татарский пролив, территория морского порта Ванино",0,0,Группа А,61,Порты ДВ,Восток,0,0,0,0,0,133365.0,0,0,0,0,0,48678287.05,1432,0,0,1432,1376,0,0,1376,1393,0,0,1393,1302,0,0,1302,1262,0,0,1262,1377,0,0,1377,27820,26640,27942,25905,25406,27747,27865158.0,27597418.0,30375894.0,32636682.734,33457787.70500001,36083860.443,да,да,да,да,да,нет,нет
50,68.800279,57.984684,МППВарандейСЗФО,Мурманский,МПП,МПП,Варандей,установлен,да,нет,функционирует,круглосуточно,морской,не определен,грузовой,постоянный,многосторонний,не определен,нет,нет,нет,не применимо,не применимо,СЗФО,Ненецкий автономный округ,"Ненецкий автономный округ, Варандейское нефтяное месторождение, БРП «Варандей». Юридический адрес: 166700, Ненецкий автономный округ, пос. Искателей, ул. Россихина, д.4",0,0,Группа С,323,Морской,Арктика,1,0,0,1,0,32876.0,365,0,0,365,0,11999740.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,344060.0,0.0,0.0,0.0,0.0,да,да,да,нет,нет,нет,нет
51,50.3108,36.5807,ДАППВергелевкаЦФО,Белгородский,АПП,ДАПП,Вергелевка,установлен,нет,нет,"Пункт пропуска не обустроен, так как решение о целесообразности функционирования не принято, в том числе сопредельным государством. Инфраструктура пункта пропуск на сопредельной территории отсутствует",не определен,автомобильный,не определен,не определен,не определен,двусторонний,не определен,нет,нет,нет,Украина,Пыльное,ЦФО,Белгородская область,не определен,0,0,не определена,348,Сухопутный,Западный,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,нет,нет,нет,нет,нет,нет,Украина
52,50.197641,37.638937,ДАППВериговкаЦФО,Белгородский,АПП,ДАПП,Вериговка,установлен,да,нет,функционирует,круглосуточно,автомобильный,не определен,грузо-пассажирский,постоянный,двусторонний,не определен,нет,нет,нет,Украина,Чугуновка,ЦФО,Белгородская область,"Белгородская область, Валуйский район, на юго-западной окраине с. Вериговка, на 45 км автодороги ""Валуйки - Приколотное""",межмуниципальная,14.ОП.МЗ.К-34 Валуйки-Казинка-Вериговка,Группа С,158,Сухопутный,Западный,0,0,0,0,0,0.0,0,0,0,0,0,0.0,106,1439,35356,36901,72,1307,28680,30059,33,659,18448,19140,5,40,2591,2636,0,0,0,0,9190,9,7693,16892,165646,127513,71748,8789,0,32356,34.95,154.6,2.34,0.9,0.0,1399.35,да,да,да,да,да,да,Украина
53,46.724082,48.22708,ЖДППВерхний БаскунчакЮФО,Волгоградский,ЖДПП,ЖДПП,Верхний Баскунчак,установлен,да,нет,функционирует,круглосуточно,железнодорожный,не определен,грузо-пассажирский,постоянный,многосторонний,не определен,нет,нет,нет,Республика Казахстан,Сайхин,ЮФО,Астраханская область,"Астраханская область, Ахтубинский район, поселок Верхний Баскунчак, железнодорожная станция Верхний Баскунчак",0,0,Группа С,126,Не является признаком отнесения к МТК,Не является признаком отнесения к МТК,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3639,2,0,3641,456,3,0,459,124,0,0,124,943,11,0,954,954,6,0,960,548,4,0,552,15523,1671,512,3855,2981,1766,0.0,0.0,0.0,0.0,0.0,0.0,да,нет,нет,нет,нет,нет,Республика Казахстан
54,42.768431,44.631185,МАППВерхний ЛарсСКФО,Северо-Кавказский,АПП,МАПП,Верхний Ларс,установлен,да,да,функционирует,круглосуточно,автомобильный,не определен,грузо-пассажирский,постоянный,многосторонний,не определен,да,да,да,Республика Грузия,Казбеги,СКФО,Республика Северная Осетия - Алания,"Республика Северная Осетия — Алания, г. Владикавказ, 27 км автодороги Владикавказ-Тбилиси",федеральная,А-161,Группа А,9,Западный,Север-Юг,170,30,200,400,3936,0.0,62050,10950,73000,146000,1436640,0.0,168407,17300,630947,816654,214082,19840,662064,895986,227581,21371,780386,1029338,281299,3179,115014,399492,296877,2157,118354,417388,281926,13817,598592,894335,2597753,2782820,3098034,678319,634301,2453049,2302385.08,2738131.91,3297048.72,3860399.29,4307304.949999999,4194121.52,да,да,да,да,да,да,Республика Грузия
55,49.5112,112.602049,ДАППВерхний УльхунДФО,Читинский,АПП,ДАПП,Верхний Ульхун,установлен,да,да,функционирует,"с 10.30 до 17.30; технологический перерыв: с 13.30 до 14.00; выходной: суббота, воскресенье и дни государственных праздников в соответствии с Постановлением Правительства Российской Федерации",автомобильный,не определен,грузо-пассажирский,постоянный,двусторонний,не определен,нет,нет,нет,Монголия,Ульхун,ДФО,Забайкальский край,"Кыринский район, Забайкальского края, 296+120 км. автомобильной дороги Дарасун - Государственная граница МНР (76ОП РЗ 76А-005)",региональная,"76А-005, Дарасун – Госграница МНР",Группа В,82,РМК,Восток,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7,31,874,912,14,48,919,981,13,52,945,1010,2,5,98,105,0,0,0,0,4,19,738,761,3791,4322,4409,404,0,2812,16.11,20.84,15.7,0.86,0.0,6.68,да,да,да,да,да,нет,Монголия
56,47.1616,38.242846,МАППВесело-ВознесенкаЮФО,Ростовский,АПП,МАПП,Весело-Вознесенка,установлен,да,нет,функционирует,круглосуточно,автомобильный,не определен,грузо-пассажирский,постоянный,многосторонний,не определен,да,да,да,не применимо (ДНР),Новоазовск,ЮФО,Ростовская область,"Ростовская область, Неклиновский район, с. Весело-Вознесенка, 118 км автодороги Ростов-на-Дону- Таганрог-граница Украины",федеральная,А-280,Группа В,94,Сухопутный,Западный,300,50,1150,1500,6720,0.0,109500,18250,419750,547500,2452800,0.0,40343,3794,214778,258915,41073,4146,220075,265294,48075,4620,195526,248221,64352,3734,147127,215213,55654,6440,238602,300696,180686,10578,211288,402552,644760,695139,758392,611365,971121,1135871,268544.0,368905.0,399768.0,617361.64,596978.0,341884.0,да,да,да,да,да,нет,нет
57,51.211204,81.11318,МАППВеселоярскСФО,Новосибирский,АПП,МАПП,Веселоярск,установлен,да,нет,функционирует,круглосуточно,автомобильный,не определен,грузо-пассажирский,постоянный,многосторонний,не определен,нет,нет,нет,Республика Казахстан,Ауыл,СФО,Алтайский край,"Алтайский край, Рубцовский район, автодорога А 322 «Барнаул – Рубцовск - граница с Республикой Казахстан», 337 км + 200 м",федеральная,А-322,Группа В,86,Не является признаком отнесения к МТК,Не является признаком отнесения к МТК,0,0,0,0,1920,0.0,0,0,0,0,700800,0.0,47499,9459,96639,153597,44862,7844,82939,135645,45281,7832,85024,138137,55503,1469,22791,79763,67402,0,20279,87681,63725,3279,55215,122219,475134,461202,455674,169493,222642,358309,0.0,0.0,0.0,0.0,0.0,0.0,да,нет,нет,нет,нет,нет,Республика Казахстан
58,49.429484,46.795764,ДАППВишневкаЮФО,Волгоградский,АПП,ДАПП,Вишневка,установлен,да,нет,функционирует,круглосуточно,автомобильный,не определен,грузо-пассажирский,постоянный,двусторонний,не определен,нет,нет,нет,Республика Казахстан,Жаныбек,ЮФО,Волгоградская область,"Волгоградская область, Палласовский район, 1,5 км. восточнее п. Вишневка",региональная,18 ОП РЗ 18А-14-5,Группа В,193,Не является признаком отнесения к МТК,Не является признаком отнесения к МТК,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3001,190,49522,52713,2692,124,40750,43566,2703,54,38164,40921,2825,14,7445,10284,3513,1,1188,4702,1946,13,17473,19432,131497,112848,109101,23945,11723,59008,0.0,0.0,0.0,0.0,0.0,0.0,да,нет,нет,нет,нет,нет,Республика Казахстан
59,43.105749,131.877652,МППВладивостокДФО,Владивостокский,МПП,МПП,Владивосток,установлен,да,нет,функционирует,круглосуточно,морской,не определен,грузо-пассажирский,постоянный,многосторонний,не определен,да,да,да,не применимо,не применимо,ДФО,Приморский край,"Приморский край, г. Владивосток, расположен на 14 ти отдельных участках морского порта Владивосток: 1. ПАО «Владивостокский морской торговый порт», ул. Стрельникова, д. 9; 2. Управляющая организация АО «Паритет», ул. Нижнепортовая, д. 3; 3. АО «ННК-Приморнефтепродукт», ул. Острякова, д. 44 А; 4. ЗАО «Дальзавод-Терминал», ул. Экипажная, д. 1; 5. ООО «Пасифик Лоджистик», ул. Дальзаводская, д. 2; 6. ООО «Владивостокский морской терминал», ул. Нижнепортовая, д. 1; 7. ОАО «Владивостокский морской рыбный порт», ул. Березовая, д. 25; 8. АО «Владивостокский морской гюрз «Гайдамак», ул. Калинина, д. 4А; 9.ООО «Дальневосточное производственно-коммерческое судоходное агентство –ФЕМСТА», ул. Калинина, д. 4; 10. АО «Дальневосточный коммерческий холодильник», стр. причал 44; 11. ФГУП «Дирекция по строительству в Дальневосточном федеральном округе» Управления делами Президента РФ, ул. Калинина, д. 30; 12. ООО «Владивостокский морской порт «Первомайский», стр. причал 42; 13. ООО «Востокморсервис», ул. Калинина, д. 204а; 14. Владивостокский филиал «Владпром» АО «Челябинский электрометаллургический комбинат», ул. Приморская, д. 8",0,0,Группа А,10,Порты ДВ,Восток,0,0,0,0,0,0.0,0,0,0,0,0,300000.0,4459,270,0,4729,4759,214,0,4973,5302,225,0,5527,5606,78,0,5684,5930,109,0,6039,7157,163,0,7320,164402,167157,225800,116752,118270,148972,12824860.0,15176197.0,19612014.0,21816561.0,24988904.1,28071877.7,да,да,да,да,да,нет,нет
60,43.396247,132.165299,ВППВладивосток (Кневичи)ДФО,Владивостокский,ВПП,ВПП,Владивосток (Кневичи),установлен,да,нет,функционирует,круглосуточно,воздушный,не определен,грузо-пассажирский,постоянный,многосторонний,не определен,да,да,да,не применимо,не применимо,ДФО,Приморский край,"Приморский край, г. Артем, ул. Владимира Сайбеля, 45",0,0,Группа А,71,Не является признаком отнесения к МТК,Не является признаком отнесения к МТК,0,0,0,0,10560,0.0,0,0,0,0,3854400,0.0,78,7286,0,7364,172,10058,0,10230,52,11966,0,12018,166,2063,0,2229,357,862,0,1219,74,488,0,562,828281,1206438,1513581,239072,94887,59286,10024.0,1560.0,1621.0,839.62,934.3700000000001,234.993,да,да,да,да,да,нет,нет
