"","Наименование пункта пропуска","Филиал","latitude","longitude","Федеральный округ","Вид","Количество","Год","Категория","Установлен / закрыт","Функционирует/не функционирует"
"2013","Ижевск","Волгоградский","55","55","ПФО","ВПП","0","2022","Число людей","установлен","нет"
"2015","Илек-Пеньковка","Белгородский","50.751077","35.539322","ЦФО","ЖДПП","0","2022","Число людей","установлен","да"
"2017","Инари","Санкт-Петербургский","63.304965","31.004307","СЗФО","АПП","0","2022","Число людей","установлен","да"
"2034","Кварцитный","Уральский","54.025807686913","61.745855156128","УФО","ЖДПП","0","2022","Число людей","установлен","нет"
"2037","Клименки","Белгородский","50.0551","38.3698","ЦФО","АПП","0","2022","Число людей","установлен","нет"
"2040","Константиновка","Хабаровский","49.6167","127.9833","ДФО","СПП","0","2022","Число людей","установлен","нет"
"2042","Крабозаводский","Владивостокский","43.8262","146.7486","ДФО","МПП","0","2022","Число людей","установлен","нет"
"2048","Крылово","Калининградский","54.3275","21.5533","СЗФО","АПП","0","2022","Число людей","установлен","нет"
"2050","Куйбышево (Дьяково)","Ростовский","47.829234","39.121442","ЮФО","АПП","0","2022","Число людей","установлен","нет"
"2055","Курган","Уральский","55.462743","65.411209","УФО","ВПП","0","2022","Число людей","установлен","нет"
"2059","Лаврентия","Владивостокский","65.587303","189.001955","ДФО","МПП","0","2022","Число людей","установлен","нет"
"2060","Левашово","Санкт-Петербургский","60.090118","30.19562","СЗФО","ВПП","0","2022","Число людей","установлен","нет"
"2061","Лесозаводск","Владивостокский","45.454651203762","133.37783813476","ДФО","СПП","0","2022","Число людей","установлен","нет"
"2065","Локоть","Брянский","51.675","34.2175","ЦФО","ЖДПП","0","2022","Число людей","установлен","нет"
"2073","Магас","Северо-Кавказский","43.319877092768","45.012048912086","СКФО","ВПП","0","2022","Число людей","установлен","нет"
"2079","Мамоново (Гроново)","Калининградский","54.439183","19.901304","СЗФО","АПП","0","2022","Число людей","установлен","да"
"2081","Марково","Владивостокский","45.550477","133.321171","ДФО","АПП","0","2022","Число людей","установлен","нет"
"2082","Марцево","Ростовский","47.263000000268","38.883600000292","ЮФО","ЖДПП","0","2022","Число людей","установлен","да"
"2090","Можаевка","Ростовский","48.759866","39.737029","ЮФО","АПП","0","2022","Число людей","установлен","нет"
"2092","Морское","Калининградский","55.278507","20.963083","СЗФО","АПП","0","2022","Число людей","установлен","да"
"2093","Москальво","Владивостокский","53.547806","142.516746","ДФО","МПП","0","2022","Число людей","установлен","да"
"2097","Мугур-Аксы","Новосибирский","50.35","90.5","СФО","АПП","0","2022","Число людей","установлен","нет"
"2101","Нарьян-Мар","Мурманский","67.647187","53.002155","СЗФО","МПП","0","2022","Число людей","установлен","нет"
"2107","Нежеголь","Белгородский","50.372308","36.850314","ЦФО","ЖДПП","0","2022","Число людей","установлен","да"
"2118","Новобелая","Белгородский","49.7947","39.245439","ЦФО","АПП","0","2022","Число людей","установлен","да"
"2125","Норильск (Алыкель)","Мурманский","69.326404","87.348495","СФО","ВПП","0","2022","Число людей","установлен","нет"
"2129","Олочи","Читинский","51.336732","119.873112","ДФО","АПП","0","2022","Число людей","установлен","да"
"2145","Пашково","Хабаровский","48.884618","130.656092","ДФО","СПП","0","2022","Число людей","установлен","нет"
"2146","Певек","Владивостокский","69.702388","170.259281","ДФО","МПП","0","2022","Число людей","установлен","нет"
"2156","Пограничный","Калининградский","55.059774","22.590262","СЗФО","АПП","0","2022","Число людей","установлен","да"
"2159","Покровка","Читинский","53.343378","121.535043","ДФО","АПП","0","2022","Число людей","установлен","нет"
"2163","Поронайск","Владивостокский","49.227984","143.116655","ДФО","МПП","0","2022","Число людей","установлен","нет"
"2164","Посинь","Псковский","56.341761","28.248432","СЗФО","ЖДПП","0","2022","Число людей","установлен","нет"
"2170","Провидения Бухта","Владивостокский","64.384945","186.770517","ДФО","ВПП","0","2022","Число людей","установлен","да"
"2171","Псков","Псковский","57.814291","28.326674","СЗФО","РПП","0","2022","Число людей","установлен","нет"
"2174","Разъезд Карьер 122 км","Ростовский","48.6833","39.75","ЮФО","ЖДПП","0","2022","Число людей","установлен","нет"
"2175","Разъезд Выстрел","Белгородский","50.008735","38.19259","ЦФО","ЖДПП","0","2022","Число людей","установлен","нет"
"2180","Рыбачий","Калининградский","55.158399999142","20.85000000149","СЗФО","РПП","0","2022","Число людей","установлен","да"
"2181","Сабетта","Мурманский","71.279491","72.061412","УФО","ВПП","0","2022","Число людей","установлен","да"
"2188","Саранск","Волгоградский","54.14783","45.221158","ПФО","ВПП","0","2022","Число людей","установлен","нет"
"2195","Симферополь","Крымский","45.019546","33.997492","ЮФО","ВПП","0","2022","Число людей","установлен","да"
"2196","Симферополь","Крымский","44.961745","34.082217","ЮФО","ЖДПП","0","2022","Число людей","установлен","нет"
"2197","Скангали","Псковский","56.8999","27.743","СЗФО","ЖДПП","0","2022","Число людей","установлен","нет"
"2198","Сковородино","Хабаровский","53.441899","123.967124","ДФО","СПП","0","2022","Число людей","установлен","да"
"2201","Советск (Русне, Юрбаркас)","Калининградский","55.084813","21.89674","СЗФО","РПП","0","2022","Число людей","установлен","нет"
"2208","Староцурухайтуйский","Читинский","50.199642","119.337367","ДФО","АПП","0","2022","Число людей","установлен","да"
"2209","Сторожинец","Псковский","58.574516","27.829775","СЗФО","ОПП","0","2022","Число людей","установлен","нет"
"2221","Тверь (Мигалово)","Центральный аппарат","56.829673","35.755184","ЦФО","ВПП","0","2022","Число людей","установлен","да"
"2224","Тёткино","Брянский","51.2789","34.285","ЦФО","ЖДПП","0","2022","Число людей","установлен","нет"
"2225","Тёткино (Бояро-Лежачи)","Брянский","51.24417","34.298149","ЦФО","АПП","0","2022","Число людей","установлен","нет"
"2227","Титовка","Ростовский","48.995","39.7369","ЮФО","АПП","0","2022","Число людей","установлен","нет"
"2228","Тишанка","Белгородский","50.391387","37.467621","ЦФО","АПП","0","2022","Число людей","установлен","нет"
"2229","Тобольск (Ремезов)","Уральский","58.061721","68.330397","УФО","ВПП","0","2022","Число людей","установлен","нет"
"2239","Убур-Тохтор","Читинский","50.4167","113.8333","ДФО","АПП","0","2022","Число людей","установлен","нет"
"2241","Углегорск","Владивостокский","49.076574","142.033563","ДФО","МПП","0","2022","Число людей","установлен","нет"
"2243","Ульяновск (Баратаевка)","Волгоградский","54.2648","48.2235","ПФО","ВПП","0","2022","Число людей","установлен","да"
"2248","Ушаково","Хабаровский","51.883","126.5631","ДФО","СПП","0","2022","Число людей","установлен","нет"
"2249","Уэлен","Владивостокский","66.157446","190.19614","ДФО","МПП","0","2022","Число людей","установлен","нет"
"2254","Ханты-Мансийск","Уральский","61.026293","69.096166","УФО","ВПП","0","2022","Число людей","установлен","да"
"2258","Чебоксары","Волгоградский","56.132199998945","47.251899998635","ПФО","ВПП","0","2022","Число людей","установлен","да"
"2263","Черняховск","Калининградский","54.629537","21.817797","СЗФО","ЖДПП","0","2022","Число людей","установлен","да"
"2265","Чертково","Ростовский","49.37829","40.145063","ЮФО","ЖДПП","0","2022","Число людей","установлен","нет"
"2272","Элиста","Волгоградский","46.369372","44.330585","ЮФО","ВПП","0","2022","Число людей","установлен","да"
