,Наименование_пункта_пропуска,Филиал,latitude,longitude,Федеральный_округ,Вид,Количество,Год,Категория,Установлен___закрыт,Функционирует_не_функционирует,Сопредельное_государство,ANN,Распределение
147,Светогорск,Санкт-Петербургский,61.123856,28.841682,СЗФО,АПП,171274,2022,Число людей,установлен,да,Финляндская Республика,1.2179160118103027,Рассредоточенное
148,Светогорск,Санкт-Петербургский,61.118075,28.845818,СЗФО,ЖДПП,816,2022,Число людей,установлен,да,Финляндская Республика,1.2179160118103027,Рассредоточенное
149,Себеж,Псковский,56.3053999990225,28.4697999991477,СЗФО,ЖДПП,8988,2022,Число людей,установлен,да,Латвийская Республика,1.4850120544433594,Рассредоточенное
150,Скангали,Псковский,56.8999,27.743,СЗФО,ЖДПП,0,2022,Число людей,установлен,нет,Латвийская Республика,1.4850120544433594,Рассредоточенное
151,Сковородино,Хабаровский,53.441899,123.967124,ДФО,СПП,0,2022,Число людей,установлен,да,Китайская Народная Республика,0.5533769726753235,Сгруппированное
152,Советск,Калининградский,55.082342,21.903888,СЗФО,АПП,88889,2022,Число людей,установлен,да,Литовская Республика,0.9493319988250732,Случайное
153,Советск,Калининградский,55.082342,21.879756,СЗФО,ЖДПП,1318,2022,Число людей,установлен,да,Литовская Республика,0.9493319988250732,Случайное
154,"Советск (Русне, Юрбаркас)",Калининградский,55.084813,21.89674,СЗФО,РПП,0,2022,Число людей,установлен,нет,Литовская Республика,0.9493319988250732,Случайное
155,Соловьевск,Читинский,49.886726,115.713356,ДФО,АПП,5678,2022,Число людей,установлен,да,Монголия,1.1012279987335205,Случайное
156,Соловьевск,Читинский,49.8947,115.7575,ДФО,ЖДПП,858,2022,Число людей,установлен,да,Монголия,1.1012279987335205,Случайное
157,Староцурухайтуйский,Читинский,50.199642,119.337367,ДФО,АПП,0,2022,Число людей,установлен,да,Китайская Народная Республика,0.5533769726753235,Сгруппированное
158,Сторожинец,Псковский,58.574516,27.829775,СЗФО,ОПП,0,2022,Число людей,установлен,нет,Эстонская Республика,1.0380020141601562,Случайное
159,Суджа,Брянский,51.172627,35.139334,ЦФО,АПП,11977,2022,Число людей,установлен,да,Украина,0.548865020275116,Сгруппированное
160,Суземка,Брянский,52.318371,34.073437,ЦФО,ЖДПП,427,2022,Число людей,установлен,да,Украина,0.548865020275116,Сгруппированное
161,Суоперя,Санкт-Петербургский,65.798791,30.109591,СЗФО,АПП,3549,2022,Число людей,установлен,да,Финляндская Республика,1.2179160118103027,Рассредоточенное
162,Сювяоро,Санкт-Петербургский,61.501999,29.61031,СЗФО,АПП,3452,2022,Число людей,установлен,да,Финляндская Республика,1.2179160118103027,Рассредоточенное
163,Тагиркент-Казмаляр,Северо-Кавказский,41.787765,48.54852,СКФО,АПП,36293,2022,Число людей,установлен,да,Азербайджанская Республика,2.038360118865967,Рассредоточенное
164,Ташанта,Новосибирский,49.643629,89.44195,СФО,АПП,89573,2022,Число людей,установлен,да,Монголия,1.1012279987335205,Случайное
165,Теплое,Уральский,51.504733,51.543277,ПФО,АПП,111346,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
