,latitude,longitude,Наименование пункта пропуска,Федеральный округ,Вид,Количество,Год,Категория,Филиал,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство,Количество по паспорту,Количество (Факт/Паспорт)
71,50.43093,35.591033,Грайворон,ЦФО,АПП,121241.0,2018,Легковые транспортные средства,Белгородский,установлен,да,Украина,109500.0,1.11
73,54.343023,22.298854,Гусев,СЗФО,АПП,419214.0,2018,Легковые транспортные средства,Калининградский,установлен,да,Республика Польша,273750.0,1.53
76,59.376896,28.211033,Ивангород,СЗФО,АПП,550966.0,2018,Легковые транспортные средства,Санкт-Петербургский,установлен,да,Эстонская Республика,438000.0,1.26
78,64.545064,29.994016,Люття,СЗФО,АПП,204620.0,2018,Легковые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,80300.0,2.55
79,54.439183,19.901304,Мамоново (Гроново),СЗФО,АПП,465173.0,2018,Легковые транспортные средства,Калининградский,установлен,да,Республика Польша,164250.0,2.83
81,55.278507,20.963083,Морское,СЗФО,АПП,86516.0,2018,Легковые транспортные средства,Калининградский,установлен,да,Литовская Республика,58400.0,1.48
82,50.338847,36.28717,Нехотеевка,ЦФО,АПП,776580.0,2018,Легковые транспортные средства,Белгородский,установлен,да,Украина,700800.0,1.11
83,42.669885,44.025982,Нижний Зарамаг,СКФО,АПП,381466.0,2018,Легковые транспортные средства,Северо-Кавказский,установлен,да,Республика Южная Осетия,62050.0,6.15
84,61.123856,28.841682,Светогорск,СЗФО,АПП,669635.0,2018,Легковые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,669410.0,1.0
85,65.798791,30.109591,Суоперя,СЗФО,АПП,43107.0,2018,Легковые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,36500.0,1.18
86,41.787765,48.54852,Тагиркент-Казмаляр,СКФО,АПП,121810.0,2018,Легковые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,51100.0,2.38
87,60.596099,27.913096,Торфяновка,СЗФО,АПП,820229.0,2018,Легковые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,766500.0,1.07
88,50.700218,92.069395,Хандагайты (Боршо),СФО,АПП,22106.0,2018,Легковые транспортные средства,Новосибирский,установлен,да,Монголия,15548.0,1.42
89,41.640607,48.40786,Яраг-Казмаляр,СКФО,АПП,270140.0,2018,Легковые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,65700.0,4.11
90,43.397314,40.002072,Адлер,ЮФО,АПП,2137028.0,2019,Легковые транспортные средства,Сочинский,установлен,да,Республика Абхазия,456250.0,4.68
91,54.372517,20.659173,Багратионовск,СЗФО,АПП,524750.0,2019,Легковые транспортные средства,Калининградский,установлен,да,Республика Польша,328500.0,1.6
92,60.931202,28.560617,Брусничное,СЗФО,АПП,872796.0,2019,Легковые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,547500.0,1.59
93,42.768431,44.631185,Верхний Ларс,СКФО,АПП,780386.0,2019,Легковые транспортные средства,Северо-Кавказский,установлен,да,Республика Грузия,73000.0,10.69
94,62.168784,30.635873,Вяртсиля,СЗФО,АПП,608064.0,2019,Легковые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,255500.0,2.38
96,54.343023,22.298854,Гусев,СЗФО,АПП,399611.0,2019,Легковые транспортные средства,Калининградский,установлен,да,Республика Польша,273750.0,1.46
99,59.376896,28.211033,Ивангород,СЗФО,АПП,521497.0,2019,Легковые транспортные средства,Санкт-Петербургский,установлен,да,Эстонская Республика,438000.0,1.19
101,64.545064,29.994016,Люття,СЗФО,АПП,205808.0,2019,Легковые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,80300.0,2.56
102,54.439183,19.901304,Мамоново (Гроново),СЗФО,АПП,419011.0,2019,Легковые транспортные средства,Калининградский,установлен,да,Республика Польша,164250.0,2.55
104,55.278507,20.963083,Морское,СЗФО,АПП,95587.0,2019,Легковые транспортные средства,Калининградский,установлен,да,Литовская Республика,58400.0,1.64
105,50.338847,36.28717,Нехотеевка,ЦФО,АПП,763191.0,2019,Легковые транспортные средства,Белгородский,установлен,да,Украина,700800.0,1.09
106,42.669885,44.025982,Нижний Зарамаг,СКФО,АПП,367293.0,2019,Легковые транспортные средства,Северо-Кавказский,установлен,да,Республика Южная Осетия,62050.0,5.92
108,65.798791,30.109591,Суоперя,СЗФО,АПП,40636.0,2019,Легковые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,36500.0,1.11
109,41.787765,48.54852,Тагиркент-Казмаляр,СКФО,АПП,109341.0,2019,Легковые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,51100.0,2.14
110,60.596099,27.913096,Торфяновка,СЗФО,АПП,786281.0,2019,Легковые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,766500.0,1.03
111,50.700218,92.069395,Хандагайты (Боршо),СФО,АПП,25355.0,2019,Легковые транспортные средства,Новосибирский,установлен,да,Монголия,15548.0,1.63
112,41.640607,48.40786,Яраг-Казмаляр,СКФО,АПП,331755.0,2019,Легковые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,65700.0,5.05
113,43.397314,40.002072,Адлер,ЮФО,АПП,1398240.0,2020,Легковые транспортные средства,Сочинский,установлен,да,Республика Абхазия,456250.0,3.06
114,42.768431,44.631185,Верхний Ларс,СКФО,АПП,115014.0,2020,Легковые транспортные средства,Северо-Кавказский,установлен,да,Республика Грузия,73000.0,1.58
118,42.669885,44.025982,Нижний Зарамаг,СКФО,АПП,190694.0,2020,Легковые транспортные средства,Северо-Кавказский,установлен,да,Республика Южная Осетия,62050.0,3.07
119,41.640607,48.40786,Яраг-Казмаляр,СКФО,АПП,67883.0,2020,Легковые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,65700.0,1.03
120,43.397314,40.002072,Адлер,ЮФО,АПП,2347832.0,2021,Легковые транспортные средства,Сочинский,установлен,да,Республика Абхазия,456250.0,5.15
