,latitude,longitude,Наименование пункта пропуска,Федеральный округ,Вид,Количество,Год,Категория,Филиал,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство
57,51.211204,81.11318,Веселоярск,СФО,АПП,475134.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан
58,49.429484,46.795764,Вишневка,ЮФО,АПП,131497.0,2017,Число людей,Волгоградский,установлен,да,Республика Казахстан
65,54.646153,65.803555,Воскресенское,УФО,АПП,197026.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан
67,60.715429,28.750744,Выборг,СЗФО,ЖДПП,100032.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
70,62.168784,30.635873,Вяртсиля,СЗФО,АПП,1237108.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
71,62.168005,30.641338,Вяртсиля,СЗФО,ЖДПП,2916.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
72,41.490063,48.064536,Гарах,СКФО,АПП,31674.0,2017,Число людей,Северо-Кавказский,установлен,да,Азербайджанская Республика
76,51.286303,34.731497,Глушково,ЦФО,ЖДПП,0.0,2017,Число людей,Брянский,установлен,да,Украина
77,50.4348,35.8312,Головчино,ЦФО,АПП,0.0,2017,Число людей,Белгородский,установлен,нет,Украина
78,50.511166,35.825004,Головчино,ЦФО,ЖДПП,0.0,2017,Число людей,Белгородский,установлен,да,Украина
79,50.972275,81.420538,Горняк,СФО,АПП,220413.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан
80,50.43093,35.591033,Грайворон,ЦФО,АПП,201751.0,2017,Число людей,Белгородский,установлен,да,Украина
84,54.343023,22.298854,Гусев,СЗФО,АПП,601320.0,2017,Число людей,Калининградский,установлен,да,Республика Польша
86,42.056396,48.306587,Дербент,СКФО,ЖДПП,117636.0,2017,Число людей,Северо-Кавказский,установлен,да,Азербайджанская Республика
87,53.482007,123.888834,Джалинда,ДФО,СПП,0.0,2017,Число людей,Хабаровский,установлен,нет,Китайская Народная Республика
91,50.7621,35.5521,Долбино,ЦФО,ЖДПП,0.0,2017,Число людей,Белгородский,установлен,нет,Украина
94,55.066608,21.952485,Дубки,СЗФО,АПП,0.0,2017,Число людей,Калининградский,установлен,да,Литовская Республика
99,54.356622,21.323472,Железнодорожный,СЗФО,АПП,0.0,2017,Число людей,Калининградский,установлен,нет,Республика Польша
100,54.35581,21.32322,Железнодорожный,СЗФО,ЖДПП,4179.0,2017,Число людей,Калининградский,установлен,да,Республика Польша
101,50.4742,105.1031,Желтура,ДФО,АПП,0.0,2017,Число людей,Читинский,установлен,нет,Монголия
103,49.632878,117.373814,Забайкальск,ДФО,АПП,1767368.0,2017,Число людей,Читинский,установлен,да,Китайская Народная Республика
104,49.638766,117.331686,Забайкальск,ДФО,ЖДПП,34374.0,2017,Число людей,Читинский,установлен,да,Китайская Народная Республика
106,54.789484,65.945636,Зауралье,УФО,ЖДПП,12339.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан
107,54.386677,64.805326,Звериноголовское,УФО,АПП,198636.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан
108,52.192193,34.058658,Зерново,ЦФО,АПП,0.0,2017,Число людей,Брянский,установлен,нет,Украина
109,59.376896,28.211033,Ивангород,СЗФО,АПП,3765083.0,2017,Число людей,Санкт-Петербургский,установлен,да,Эстонская Республика
110,59.36793,28.233993,Ивангород,СЗФО,ЖДПП,119183.0,2017,Число людей,Санкт-Петербургский,установлен,да,Эстонская Республика
111,59.360621,28.200402,Ивангород,СЗФО,ППП,35920.0,2017,Число людей,Санкт-Петербургский,установлен,да,Эстонская Республика
114,51.492998,53.382564,Илек,ПФО,АПП,549491.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан
115,50.751077,35.539322,Илек-Пеньковка,ЦФО,ЖДПП,0.0,2017,Число людей,Белгородский,установлен,да,Украина
116,51.1568999998271,54.9952999986708,"Илецк-1 (Жайсан, Шынгырлау)",ПФО,ЖДПП,487154.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан
117,63.304965,31.004307,Инари,СЗФО,АПП,4837.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
119,53.9109000004827,74.9037999995053,Иртышское (Валиханово),СФО,ЖДПП,16905.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан
120,54.9219999983907,71.0168999992311,Исилькуль,СФО,АПП,773314.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан
121,54.909388,71.263429,Исилькуль,СФО,ЖДПП,406342.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан
122,45.341123,36.675162,Кавказ,ЮФО,МПП,30880.0,2017,Число людей,Сочинский,установлен,да,утратило значение (Украина)
123,55.393328,69.338667,Казанское,УФО,АПП,438183.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан
125,49.743903,46.84589,Кайсацкое,ЮФО,ЖДПП,1990.0,2017,Число людей,Волгоградский,установлен,да,Республика Казахстан
130,50.197449,127.641475,Кани-Курган,ДФО,АПП,0.0,2017,Число людей,Хабаровский,установлен,да,Китайская Народная Республика
131,53.752359,78.053926,Карасук,СФО,ЖДПП,24206.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан
132,46.545927,48.637239,Караузек,ЮФО,АПП,949673.0,2017,Число людей,Волгоградский,установлен,да,Республика Казахстан
133,53.052333,60.643455,"Карталы (Аксу, Бускуль)",УФО,ЖДПП,60784.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан
134,54.0258076869129,61.7458551561277,Кварцитный,УФО,ЖДПП,0.0,2017,Число людей,Уральский,установлен,нет,Республика Казахстан
138,50.813564,35.415016,Колотиловка,ЦФО,АПП,135180.0,2017,Число людей,Белгородский,установлен,да,Украина
139,51.576089,60.615823,Комсомольский,ПФО,АПП,16716.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан
140,49.6167,127.9833,Константиновка,ДФО,СПП,0.0,2017,Число людей,Хабаровский,установлен,нет,Китайская Народная Республика
143,42.768502,130.470716,Краскино,ДФО,АПП,354719.0,2017,Число людей,Владивостокский,установлен,да,Китайская Народная Республика
146,51.647524,34.137715,Крупец,ЦФО,АПП,291521.0,2017,Число людей,Брянский,установлен,да,Украина
147,57.895767,27.817193,Крупп,СЗФО,АПП,6195.0,2017,Число людей,Псковский,установлен,да,Эстонская Республика
148,54.3275,21.5533,Крылово,СЗФО,АПП,0.0,2017,Число людей,Калининградский,установлен,нет,Республика Польша
152,52.571772,78.935906,Кулунда,СФО,ЖДПП,11838.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан
153,52.532284,78.630049,Кулунда (Шарбакты),СФО,АПП,670501.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан
154,57.832371,27.595687,Куничина Гора,СЗФО,АПП,436150.0,2017,Число людей,Псковский,установлен,да,Эстонская Республика
158,50.325935,106.487149,Кяхта,ДФО,АПП,721181.0,2017,Число людей,Читинский,установлен,да,Монголия
161,45.45465120376154,133.3778381347585,Лесозаводск,ДФО,СПП,0.0,2017,Число людей,Владивостокский,установлен,нет,Китайская Народная Республика
163,49.999964,37.951784,Логачевка,ЦФО,АПП,207717.0,2017,Число людей,Белгородский,установлен,да,Украина
164,51.287835,81.103774,Локоть,СФО,ЖДПП,219977.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан
165,51.675,34.2175,Локоть,ЦФО,ЖДПП,0.0,2017,Число людей,Брянский,установлен,нет,Украина
166,52.295003,32.647313,Ломаковка,ЦФО,АПП,42357.0,2017,Число людей,Брянский,установлен,да,Украина
167,68.477378,28.477149,Лотта,СЗФО,АПП,77737.0,2017,Число людей,Мурманский,установлен,да,Финляндская Республика
168,57.132236,27.774503,Лудонка,СЗФО,АПП,114223.0,2017,Число людей,Псковский,установлен,да,Латвийская Республика
169,64.545064,29.994016,Люття,СЗФО,АПП,382020.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
170,64.5496,30.665,Люття,СЗФО,ЖДПП,9354.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
175,55.2213630695047,67.2304994999999,Макушино,УФО,ЖДПП,0.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан
176,51.595588,79.437002,Малиновое Озеро,СФО,АПП,19113.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан
177,54.447689,19.898678,Мамоново,СЗФО,ЖДПП,8143.0,2017,Число людей,Калининградский,установлен,да,Республика Польша
178,54.424393,20.074312,Мамоново (Гжехотки),СЗФО,АПП,1221208.0,2017,Число людей,Калининградский,установлен,да,Республика Польша
179,54.439183,19.901304,Мамоново (Гроново),СЗФО,АПП,1060824.0,2017,Число людей,Калининградский,установлен,да,Республика Польша
180,52.319569,61.001741,Мариинский,УФО,АПП,139069.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан
181,45.550477,133.321171,Марково,ДФО,АПП,36439.0,2017,Число людей,Владивостокский,установлен,нет,Китайская Народная Республика
184,42.681192,130.61768,Махалино,ДФО,ЖДПП,4824.0,2017,Число людей,Владивостокский,установлен,да,Китайская Народная Республика
187,51.853502,50.896097,Маштаково,ПФО,АПП,1990221.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан
189,50.807859,81.965854,Михайловка,СФО,АПП,474743.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан
191,51.636004,100.860313,Монды,ДФО,АПП,41729.0,2017,Число людей,Читинский,установлен,да,Монголия
192,55.278507,20.963083,Морское,СЗФО,АПП,229455.0,2017,Число людей,Калининградский,установлен,да,Литовская Республика
197,50.35,90.5,Мугур-Аксы,СФО,АПП,0.0,2017,Число людей,Новосибирский,установлен,нет,Монголия
202,50.388174,106.100215,Наушки,ДФО,ЖДПП,67158.0,2017,Число людей,Читинский,установлен,да,Монголия
