,latitude,longitude,Наименование пункта пропуска,Федеральный округ,Вид,Количество,Год,Категория,Филиал,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство
1402,48.953911,46.789453,Полынный,ЮФО,АПП,2733.0,2020,Число людей,Волгоградский,установлен,да,Республика Казахстан
1404,56.341761,28.248432,Посинь,СЗФО,ЖДПП,0.0,2020,Число людей,Псковский,установлен,нет,Латвийская Республика
1406,49.614111,128.680416,Поярково,ДФО,СПП,2878.0,2020,Число людей,Хабаровский,установлен,да,Китайская Народная Республика
1411,57.814291,28.326674,Псков,СЗФО,РПП,0.0,2020,Число людей,Псковский,установлен,нет,Эстонская Республика
1413,57.0645000003278,27.9111000001431,Пыталово,СЗФО,ЖДПП,4743.0,2020,Число людей,Псковский,установлен,да,Латвийская Республика
1420,55.1583999991417,20.8500000014901,Рыбачий,СЗФО,РПП,0.0,2020,Число людей,Калининградский,установлен,да,Литовская Республика
1423,50.857938,56.142094,Сагарчин,ПФО,АПП,551812.0,2020,Число людей,Уральский,установлен,да,Республика Казахстан
1424,66.944902,29.038847,Салла,СЗФО,АПП,27301.0,2020,Число людей,Мурманский,установлен,да,Финляндская Республика
1426,59.955817,30.356343,Санкт-Петербург-Финляндский,СЗФО,ЖДПП,99023.0,2020,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
1430,50.710306,61.02061,Светлый,ПФО,АПП,2258.0,2020,Число людей,Уральский,установлен,да,Республика Казахстан
1431,61.123856,28.841682,Светогорск,СЗФО,АПП,423033.0,2020,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
1432,61.118075,28.845818,Светогорск,СЗФО,ЖДПП,5508.0,2020,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
1433,56.3053999990225,28.4697999991477,Себеж,СЗФО,ЖДПП,36716.0,2020,Число людей,Псковский,установлен,да,Латвийская Республика
1437,56.8999,27.743,Скангали,СЗФО,ЖДПП,0.0,2020,Число людей,Псковский,установлен,нет,Латвийская Республика
1438,53.441899,123.967124,Сковородино,ДФО,СПП,0.0,2020,Число людей,Хабаровский,установлен,да,Китайская Народная Республика
1439,55.082342,21.903888,Советск,СЗФО,АПП,138559.0,2020,Число людей,Калининградский,установлен,да,Литовская Республика
1440,55.082342,21.879756,Советск,СЗФО,ЖДПП,2728.0,2020,Число людей,Калининградский,установлен,да,Литовская Республика
1441,55.084813,21.89674,"Советск (Русне, Юрбаркас)",СЗФО,РПП,0.0,2020,Число людей,Калининградский,установлен,нет,Литовская Республика
1443,49.886726,115.713356,Соловьевск,ДФО,АПП,1789.0,2020,Число людей,Читинский,установлен,да,Монголия
1444,49.8947,115.7575,Соловьевск,ДФО,ЖДПП,1022.0,2020,Число людей,Читинский,установлен,да,Монголия
1448,50.199642,119.337367,Староцурухайтуйский,ДФО,АПП,1664.0,2020,Число людей,Читинский,установлен,да,Китайская Народная Республика
1449,58.574516,27.829775,Сторожинец,СЗФО,ОПП,0.0,2020,Число людей,Псковский,установлен,нет,Эстонская Республика
1450,51.172627,35.139334,Суджа,ЦФО,АПП,95444.0,2020,Число людей,Брянский,установлен,да,Украина
1451,52.318371,34.073437,Суземка,ЦФО,ЖДПП,97363.0,2020,Число людей,Брянский,установлен,да,Украина
1452,65.798791,30.109591,Суоперя,СЗФО,АПП,14881.0,2020,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
1455,61.501999,29.61031,Сювяоро,СЗФО,АПП,21658.0,2020,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
1458,41.787765,48.54852,Тагиркент-Казмаляр,СКФО,АПП,82404.0,2020,Число людей,Северо-Кавказский,установлен,да,Азербайджанская Республика
1460,49.643629,89.44195,Ташанта,СФО,АПП,20287.0,2020,Число людей,Новосибирский,установлен,да,Монголия
1463,51.504733,51.543277,Теплое,ПФО,АПП,49582.0,2020,Число людей,Уральский,установлен,да,Республика Казахстан
1464,51.2789,34.285,Тёткино,ЦФО,ЖДПП,0.0,2020,Число людей,Брянский,установлен,нет,Украина
1465,51.24417,34.298149,Тёткино (Бояро-Лежачи),ЦФО,АПП,0.0,2020,Число людей,Брянский,установлен,нет,Украина
1466,51.24413,34.298117,Тёткино (Рыжевка),ЦФО,АПП,13796.0,2020,Число людей,Брянский,установлен,да,Украина
1468,50.391387,37.467621,Тишанка,ЦФО,АПП,0.0,2020,Число людей,Белгородский,установлен,нет,Украина
1471,50.918237,80.103876,Топольное,СФО,АПП,1320.0,2020,Число людей,Новосибирский,установлен,да,Республика Казахстан
1472,60.596099,27.913096,Торфяновка,СЗФО,АПП,628487.0,2020,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
1473,50.866700001061,81.895300000906,Третьяково,СФО,ЖДПП,19354.0,2020,Число людей,Новосибирский,установлен,да,Республика Казахстан
1474,51.881005,34.337551,Троебортное,ЦФО,АПП,520211.0,2020,Число людей,Брянский,установлен,да,Украина
1475,54.1130000017583,61.5698999986053,"Троицк (Кайрак, Магнай)",УФО,ЖДПП,29044.0,2020,Число людей,Уральский,установлен,да,Республика Казахстан
1477,45.262249,131.978153,Турий Рог,ДФО,АПП,14019.0,2020,Число людей,Владивостокский,установлен,да,Китайская Народная Республика
1479,50.4167,113.8333,Убур-Тохтор,ДФО,АПП,0.0,2020,Число людей,Читинский,установлен,нет,Монголия
1480,56.87317,27.833766,Убылинка,СЗФО,АПП,109020.0,2020,Число людей,Псковский,установлен,да,Латвийская Республика
1488,51.883,126.5631,Ушаково,ДФО,СПП,0.0,2020,Число людей,Хабаровский,установлен,нет,Китайская Народная Республика
1491,48.468957,135.057972,Хабаровск,ДФО,РПП,1622.0,2020,Число людей,Хабаровский,установлен,да,Китайская Народная Республика
1493,50.700218,92.069395,Хандагайты (Боршо),СФО,АПП,18022.0,2020,Число людей,Новосибирский,установлен,да,Монголия
1495,42.430155,130.644336,Хасан,ДФО,ЖДПП,1403.0,2020,Число людей,Владивостокский,установлен,да,Корейская Народно-Демократическая Республика
1497,49.957094,95.62729,Цаган-Толгой,СФО,АПП,1487.0,2020,Число людей,Новосибирский,установлен,да,Монголия
1501,54.155114,74.804456,Черлак,СФО,РПП,873.0,2020,Число людей,Новосибирский,установлен,да,Республика Казахстан
1502,54.645721,22.736633,Чернышевское,СЗФО,АПП,221458.0,2020,Число людей,Калининградский,установлен,да,Литовская Республика
1503,54.629537,21.817797,Черняховск,СЗФО,ЖДПП,0.0,2020,Число людей,Калининградский,установлен,да,Литовская Республика
1508,50.515325,94.337233,Шара-Сур,СФО,АПП,211.0,2020,Число людей,Новосибирский,установлен,да,Монголия
1510,50.352158,36.922684,Шебекино,ЦФО,АПП,115519.0,2020,Число людей,Белгородский,установлен,да,Украина
1511,57.644615,27.387415,Шумилкино,СЗФО,АПП,190662.0,2020,Число людей,Псковский,установлен,да,Эстонская Республика
1513,49.130289,46.838265,Эльтон,ЮФО,ЖДПП,1561.0,2020,Число людей,Волгоградский,установлен,да,Республика Казахстан
1518,41.640607,48.40786,Яраг-Казмаляр,СКФО,АПП,404358.0,2020,Число людей,Северо-Кавказский,установлен,да,Азербайджанская Республика
1520,49.5833,117.8167,Абагайтуй,ДФО,АПП,0.0,2021,Число людей,Читинский,установлен,нет,Китайская Народная Республика
1522,43.397314,40.002072,Адлер,ЮФО,АПП,11392851.0,2021,Число людей,Сочинский,установлен,да,Республика Абхазия
1523,43.40274645,39.99306761,Адлер,ЮФО,ЖДПП,329496.0,2021,Число людей,Сочинский,установлен,да,Республика Абхазия
1525,50.3678,103.279,Айнек-Гол,ДФО,АПП,0.0,2021,Число людей,Читинский,установлен,нет,Монголия
1526,46.7337,48.0892,Аксарайский,ЮФО,ЖДПП,60003.0,2021,Число людей,Волгоградский,установлен,да,Республика Казахстан
1528,49.8833,109.0667,Алтан,ДФО,АПП,0.0,2021,Число людей,Читинский,установлен,нет,Монголия
1529,47.690284,131.073245,Амурзет,ДФО,СПП,0.0,2021,Число людей,Хабаровский,установлен,да,Китайская Народная Республика
1538,50.3099,90.0221,Аспайты,СФО,АПП,0.0,2021,Число людей,Новосибирский,установлен,нет,Монголия
1541,54.372517,20.659173,Багратионовск,СЗФО,АПП,36663.0,2021,Число людей,Калининградский,установлен,да,Республика Польша
1542,54.3927,20.6475,Багратионовск,СЗФО,ЖДПП,0.0,2021,Число людей,Калининградский,установлен,нет,Республика Польша
1544,50.368527,35.756453,Безымено,ЦФО,АПП,0.0,2021,Число людей,Белгородский,установлен,нет,Украина
1545,52.3835,33.4804,Белая Березка,ЦФО,АПП,0.0,2021,Число людей,Брянский,установлен,нет,Украина
1547,50.593234,36.605675,Белгород,ЦФО,ЖДПП,2930.0,2021,Число людей,Белгородский,установлен,да,Украина
1550,50.249853,127.554133,Благовещенск,ДФО,СПП,3222.0,2021,Число людей,Хабаровский,установлен,да,Китайская Народная Республика
1551,50.252764,127.547584,Благовещенск-1,ДФО,ППП,0.0,2021,Число людей,Хабаровский,установлен,нет,Китайская Народная Республика
1553,48.347254,134.768252,Большой Уссурийский,ДФО,АПП,0.0,2021,Число людей,Хабаровский,установлен,нет,Китайская Народная Республика
1554,69.655681,30.203183,Борисоглебск,СЗФО,АПП,15079.0,2021,Число людей,Мурманский,установлен,да,Королевство Норвегия
1556,57.538718,27.471549,Брунишево,СЗФО,АПП,816.0,2021,Число людей,Псковский,установлен,да,Латвийская Республика
1557,60.931202,28.560617,Брусничное,СЗФО,АПП,275525.0,2021,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
1558,60.810182,28.737329,Брусничное (Сайменский канал),СЗФО,МПП,8558.0,2021,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
1560,53.213067,34.409548,Брянск-Льговский,ЦФО,ЖДПП,8981.0,2021,Число людей,Брянский,установлен,да,Украина
1561,53.262436,34.405696,Брянск-Орловский,ЦФО,ЖДПП,0.0,2021,Число людей,Брянский,установлен,да,Украина
1563,54.006458,61.625926,Бугристое,УФО,АПП,672953.0,2021,Число людей,Уральский,установлен,да,Республика Казахстан
1564,56.356309,28.197336,Бурачки,СЗФО,АПП,181985.0,2021,Число людей,Псковский,установлен,да,Латвийская Республика
1565,53.796262,61.157583,Бускульский,УФО,ЖДПП,0.0,2021,Число людей,Уральский,установлен,нет,Республика Казахстан
1566,60.840635,28.378262,Бусловская,СЗФО,ЖДПП,10985.0,2021,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
1571,50.3108,36.5807,Вергелевка,ЦФО,АПП,0.0,2021,Число людей,Белгородский,установлен,нет,Украина
1572,50.197641,37.638937,Вериговка,ЦФО,АПП,0.0,2021,Число людей,Белгородский,установлен,да,Украина
1573,46.724082,48.22708,Верхний Баскунчак,ЮФО,ЖДПП,2981.0,2021,Число людей,Волгоградский,установлен,да,Республика Казахстан
1574,42.768431,44.631185,Верхний Ларс,СКФО,АПП,634301.0,2021,Число людей,Северо-Кавказский,установлен,да,Республика Грузия
1575,49.5112,112.602049,Верхний Ульхун,ДФО,АПП,0.0,2021,Число людей,Читинский,установлен,да,Монголия
1577,51.211204,81.11318,Веселоярск,СФО,АПП,222642.0,2021,Число людей,Новосибирский,установлен,да,Республика Казахстан
1578,49.429484,46.795764,Вишневка,ЮФО,АПП,11723.0,2021,Число людей,Волгоградский,установлен,да,Республика Казахстан
1585,54.646153,65.803555,Воскресенское,УФО,АПП,0.0,2021,Число людей,Уральский,установлен,да,Республика Казахстан
1587,60.715429,28.750744,Выборг,СЗФО,ЖДПП,178.0,2021,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
1590,62.168784,30.635873,Вяртсиля,СЗФО,АПП,183821.0,2021,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
1591,62.168005,30.641338,Вяртсиля,СЗФО,ЖДПП,183821.0,2021,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
1592,41.490063,48.064536,Гарах,СКФО,АПП,0.0,2021,Число людей,Северо-Кавказский,установлен,да,Азербайджанская Республика
1596,51.286303,34.731497,Глушково,ЦФО,ЖДПП,0.0,2021,Число людей,Брянский,установлен,да,Украина
1597,50.4348,35.8312,Головчино,ЦФО,АПП,0.0,2021,Число людей,Белгородский,установлен,нет,Украина
1598,50.511166,35.825004,Головчино,ЦФО,ЖДПП,0.0,2021,Число людей,Белгородский,установлен,да,Украина
1599,50.972275,81.420538,Горняк,СФО,АПП,0.0,2021,Число людей,Новосибирский,установлен,да,Республика Казахстан
1600,50.43093,35.591033,Грайворон,ЦФО,АПП,0.0,2021,Число людей,Белгородский,установлен,да,Украина
1604,54.343023,22.298854,Гусев,СЗФО,АПП,0.0,2021,Число людей,Калининградский,установлен,да,Республика Польша
1606,42.056396,48.306587,Дербент,СКФО,ЖДПП,11014.0,2021,Число людей,Северо-Кавказский,установлен,да,Азербайджанская Республика
1607,53.482007,123.888834,Джалинда,ДФО,СПП,0.0,2021,Число людей,Хабаровский,установлен,нет,Китайская Народная Республика
1611,50.7621,35.5521,Долбино,ЦФО,ЖДПП,0.0,2021,Число людей,Белгородский,установлен,нет,Украина
1614,55.066608,21.952485,Дубки,СЗФО,АПП,0.0,2021,Число людей,Калининградский,установлен,да,Литовская Республика
1619,54.356622,21.323472,Железнодорожный,СЗФО,АПП,0.0,2021,Число людей,Калининградский,установлен,нет,Республика Польша
1620,54.35581,21.32322,Железнодорожный,СЗФО,ЖДПП,1978.0,2021,Число людей,Калининградский,установлен,да,Республика Польша
1621,50.4742,105.1031,Желтура,ДФО,АПП,0.0,2021,Число людей,Читинский,установлен,нет,Монголия
1623,49.632878,117.373814,Забайкальск,ДФО,АПП,86456.0,2021,Число людей,Читинский,установлен,да,Китайская Народная Республика
1624,49.638766,117.331686,Забайкальск,ДФО,ЖДПП,27090.0,2021,Число людей,Читинский,установлен,да,Китайская Народная Республика
1626,54.789484,65.945636,Зауралье,УФО,ЖДПП,10853.0,2021,Число людей,Уральский,установлен,да,Республика Казахстан
1627,54.386677,64.805326,Звериноголовское,УФО,АПП,62919.0,2021,Число людей,Уральский,установлен,да,Республика Казахстан
1628,52.192193,34.058658,Зерново,ЦФО,АПП,0.0,2021,Число людей,Брянский,установлен,нет,Украина
1629,59.376896,28.211033,Ивангород,СЗФО,АПП,450332.0,2021,Число людей,Санкт-Петербургский,установлен,да,Эстонская Республика
1630,59.36793,28.233993,Ивангород,СЗФО,ЖДПП,4585.0,2021,Число людей,Санкт-Петербургский,установлен,да,Эстонская Республика
1631,59.360621,28.200402,Ивангород,СЗФО,ППП,37811.0,2021,Число людей,Санкт-Петербургский,установлен,да,Эстонская Республика
1634,51.492998,53.382564,Илек,ПФО,АПП,86238.0,2021,Число людей,Уральский,установлен,да,Республика Казахстан
1635,50.751077,35.539322,Илек-Пеньковка,ЦФО,ЖДПП,0.0,2021,Число людей,Белгородский,установлен,да,Украина
1636,51.1568999998271,54.9952999986708,"Илецк-1 (Жайсан, Шынгырлау)",ПФО,ЖДПП,35411.0,2021,Число людей,Уральский,установлен,да,Республика Казахстан
1637,63.304965,31.004307,Инари,СЗФО,АПП,4706.0,2021,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
1639,53.9109000004827,74.9037999995053,Иртышское (Валиханово),СФО,ЖДПП,13597.0,2021,Число людей,Новосибирский,установлен,да,Республика Казахстан
1640,54.9219999983907,71.0168999992311,Исилькуль,СФО,АПП,316451.0,2021,Число людей,Новосибирский,установлен,да,Республика Казахстан
1641,54.909388,71.263429,Исилькуль,СФО,ЖДПП,19827.0,2021,Число людей,Новосибирский,установлен,да,Республика Казахстан
1642,45.341123,36.675162,Кавказ,ЮФО,МПП,31864.0,2021,Число людей,Сочинский,установлен,да,утратило значение (Украина)
1643,55.393328,69.338667,Казанское,УФО,АПП,0.0,2021,Число людей,Уральский,установлен,да,Республика Казахстан
1645,49.743903,46.84589,Кайсацкое,ЮФО,ЖДПП,1569.0,2021,Число людей,Волгоградский,установлен,да,Республика Казахстан
1650,50.197449,127.641475,Кани-Курган,ДФО,АПП,0.0,2021,Число людей,Хабаровский,установлен,да,Китайская Народная Республика
1651,53.752359,78.053926,Карасук,СФО,ЖДПП,13006.0,2021,Число людей,Новосибирский,установлен,да,Республика Казахстан
1652,46.545927,48.637239,Караузек,ЮФО,АПП,254418.0,2021,Число людей,Волгоградский,установлен,да,Республика Казахстан
1653,53.052333,60.643455,"Карталы (Аксу, Бускуль)",УФО,ЖДПП,38401.0,2021,Число людей,Уральский,установлен,да,Республика Казахстан
1654,54.0258076869129,61.7458551561277,Кварцитный,УФО,ЖДПП,0.0,2021,Число людей,Уральский,установлен,нет,Республика Казахстан
1658,50.813564,35.415016,Колотиловка,ЦФО,АПП,0.0,2021,Число людей,Белгородский,установлен,да,Украина
1659,51.576089,60.615823,Комсомольский,ПФО,АПП,0.0,2021,Число людей,Уральский,установлен,да,Республика Казахстан
1660,49.6167,127.9833,Константиновка,ДФО,СПП,0.0,2021,Число людей,Хабаровский,установлен,нет,Китайская Народная Республика
1663,42.768502,130.470716,Краскино,ДФО,АПП,22608.0,2021,Число людей,Владивостокский,установлен,да,Китайская Народная Республика
1666,51.647524,34.137715,Крупец,ЦФО,АПП,0.0,2021,Число людей,Брянский,установлен,да,Украина
1667,57.895767,27.817193,Крупп,СЗФО,АПП,342.0,2021,Число людей,Псковский,установлен,да,Эстонская Республика
1668,54.3275,21.5533,Крылово,СЗФО,АПП,0.0,2021,Число людей,Калининградский,установлен,нет,Республика Польша
1672,52.571772,78.935906,Кулунда,СФО,ЖДПП,9781.0,2021,Число людей,Новосибирский,установлен,да,Республика Казахстан
1673,52.532284,78.630049,Кулунда (Шарбакты),СФО,АПП,119975.0,2021,Число людей,Новосибирский,установлен,да,Республика Казахстан
1674,57.832371,27.595687,Куничина Гора,СЗФО,АПП,85429.0,2021,Число людей,Псковский,установлен,да,Эстонская Республика
1678,50.325935,106.487149,Кяхта,ДФО,АПП,36033.0,2021,Число людей,Читинский,установлен,да,Монголия
1681,45.45465120376154,133.3778381347585,Лесозаводск,ДФО,СПП,0.0,2021,Число людей,Владивостокский,установлен,нет,Китайская Народная Республика
1683,49.999964,37.951784,Логачевка,ЦФО,АПП,0.0,2021,Число людей,Белгородский,установлен,да,Украина
1684,51.287835,81.103774,Локоть,СФО,ЖДПП,11231.0,2021,Число людей,Новосибирский,установлен,да,Республика Казахстан
1685,51.675,34.2175,Локоть,ЦФО,ЖДПП,0.0,2021,Число людей,Брянский,установлен,нет,Украина
1686,52.295003,32.647313,Ломаковка,ЦФО,АПП,0.0,2021,Число людей,Брянский,установлен,да,Украина
1687,68.477378,28.477149,Лотта,СЗФО,АПП,2743.0,2021,Число людей,Мурманский,установлен,да,Финляндская Республика
1688,57.132236,27.774503,Лудонка,СЗФО,АПП,732.0,2021,Число людей,Псковский,установлен,да,Латвийская Республика
1689,64.545064,29.994016,Люття,СЗФО,АПП,52778.0,2021,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
1690,64.5496,30.665,Люття,СЗФО,ЖДПП,6744.0,2021,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
1695,55.2213630695047,67.2304994999999,Макушино,УФО,ЖДПП,4327.0,2021,Число людей,Уральский,установлен,да,Республика Казахстан
1696,51.595588,79.437002,Малиновое Озеро,СФО,АПП,0.0,2021,Число людей,Новосибирский,установлен,да,Республика Казахстан
1697,54.447689,19.898678,Мамоново,СЗФО,ЖДПП,8167.0,2021,Число людей,Калининградский,установлен,да,Республика Польша
1698,54.424393,20.074312,Мамоново (Гжехотки),СЗФО,АПП,185709.0,2021,Число людей,Калининградский,установлен,да,Республика Польша
1699,54.439183,19.901304,Мамоново (Гроново),СЗФО,АПП,0.0,2021,Число людей,Калининградский,установлен,да,Республика Польша
1700,52.319569,61.001741,Мариинский,УФО,АПП,25605.0,2021,Число людей,Уральский,установлен,да,Республика Казахстан
1701,45.550477,133.321171,Марково,ДФО,АПП,0.0,2021,Число людей,Владивостокский,установлен,нет,Китайская Народная Республика
1704,42.681192,130.61768,Махалино,ДФО,ЖДПП,4874.0,2021,Число людей,Владивостокский,установлен,да,Китайская Народная Республика
1707,51.853502,50.896097,Маштаково,ПФО,АПП,709078.0,2021,Число людей,Уральский,установлен,да,Республика Казахстан
1709,50.807859,81.965854,Михайловка,СФО,АПП,122701.0,2021,Число людей,Новосибирский,установлен,да,Республика Казахстан
1711,51.636004,100.860313,Монды,ДФО,АПП,20.0,2021,Число людей,Читинский,установлен,да,Монголия
1712,55.278507,20.963083,Морское,СЗФО,АПП,0.0,2021,Число людей,Калининградский,установлен,да,Литовская Республика
1717,50.35,90.5,Мугур-Аксы,СФО,АПП,0.0,2021,Число людей,Новосибирский,установлен,нет,Монголия
1722,50.388174,106.100215,Наушки,ДФО,ЖДПП,12026.0,2021,Число людей,Читинский,установлен,да,Монголия
1725,50.982706,81.519878,Неверовская,СФО,ЖДПП,5514.0,2021,Число людей,Новосибирский,установлен,да,Республика Казахстан
1726,53.7267000004649,73.8075000010431,Невольное,СФО,АПП,9921.0,2021,Число людей,Новосибирский,установлен,да,Республика Казахстан
1727,50.372308,36.850314,Нежеголь,ЦФО,ЖДПП,0.0,2021,Число людей,Белгородский,установлен,да,Украина
1728,54.636192,22.73258,Нестеров,СЗФО,ЖДПП,219098.0,2021,Число людей,Калининградский,установлен,да,Литовская Республика
1729,50.338847,36.28717,Нехотеевка,ЦФО,АПП,1247965.0,2021,Число людей,Белгородский,установлен,да,Украина
1732,47.975056,132.671355,Нижнеленинское,ДФО,ЖДПП,0.0,2021,Число людей,Хабаровский,установлен,да,Китайская Народная Республика
1733,47.961278,132.669774,Нижнеленинское,ДФО,СПП,0.0,2021,Число людей,Хабаровский,установлен,да,Китайская Народная Республика
1734,42.669885,44.025982,Нижний Зарамаг,СКФО,АПП,1045066.0,2021,Число людей,Северо-Кавказский,установлен,да,Республика Южная Осетия
1736,53.003526,62.129645,Николаевка,УФО,АПП,33425.0,2021,Число людей,Уральский,установлен,да,Республика Казахстан
1742,41.708056,48.473279,Ново-Филя,СКФО,АПП,3101.0,2021,Число людей,Северо-Кавказский,установлен,да,Азербайджанская Республика
1744,52.116365,31.811135,Новые Юрковичи,ЦФО,АПП,218788.0,2021,Число людей,Брянский,установлен,да,Украина
1746,54.159304,72.792108,Одесское,СФО,АПП,88427.0,2021,Число людей,Новосибирский,установлен,да,Республика Казахстан
1747,51.216321,49.880509,Озинки,ПФО,АПП,124987.0,2021,Число людей,Волгоградский,установлен,да,Республика Казахстан
1748,51.194203,49.73407,Озинки,ПФО,ЖДПП,9870.0,2021,Число людей,Волгоградский,установлен,да,Республика Казахстан
1749,51.336732,119.873112,Олочи,ДФО,АПП,0.0,2021,Число людей,Читинский,установлен,да,Китайская Народная Республика
1751,53.796579,75.051943,Ольховка,СФО,АПП,184214.0,2021,Число людей,Новосибирский,установлен,да,Республика Казахстан
1757,51.084344,58.475364,Орск,ПФО,АПП,183427.0,2021,Число людей,Уральский,установлен,да,Республика Казахстан
1759,51.086122,58.464716,Орск,ПФО,ЖДПП,14018.0,2021,Число людей,Уральский,установлен,да,Республика Казахстан
1762,53.401993,77.709242,Павловка,СФО,АПП,178534.0,2021,Число людей,Новосибирский,установлен,да,Республика Казахстан
1763,52.924229,78.268375,Павловка (Славгород),СФО,АПП,0.0,2021,Число людей,Новосибирский,установлен,да,Республика Казахстан
1765,48.884618,130.656092,Пашково,ДФО,СПП,0.0,2021,Число людей,Хабаровский,установлен,нет,Китайская Народная Республика
1772,55.090975,68.242499,Петухово,УФО,АПП,318114.0,2021,Число людей,Уральский,установлен,да,Республика Казахстан
1773,55.070614,67.887333,Петухово,УФО,ЖДПП,12503.0,2021,Число людей,Уральский,установлен,да,Республика Казахстан
1774,57.8357999995351,27.625300001353,Печоры-Псковские,СЗФО,ЖДПП,4272.0,2021,Число людей,Псковский,установлен,да,Эстонская Республика
1775,52.369862,33.243985,Погар,ЦФО,АПП,0.0,2021,Число людей,Брянский,установлен,да,Украина
1776,55.059774,22.590262,Пограничный,СЗФО,АПП,0.0,2021,Число людей,Калининградский,установлен,да,Литовская Республика
1777,44.39917,131.259668,Пограничный,ДФО,АПП,32344.0,2021,Число людей,Владивостокский,установлен,да,Китайская Народная Республика
1778,44.40663,131.37327,Пограничный,ДФО,ЖДПП,16442.0,2021,Число людей,Владивостокский,установлен,да,Китайская Народная Республика
1779,53.343378,121.535043,Покровка,ДФО,АПП,0.0,2021,Число людей,Читинский,установлен,нет,Китайская Народная Республика
1780,46.723319,134.02228,Покровка,ДФО,СПП,0.0,2021,Число людей,Хабаровский,установлен,да,Китайская Народная Республика
1781,44.018064,131.252823,Полтавка,ДФО,АПП,25280.0,2021,Число людей,Владивостокский,установлен,да,Китайская Народная Республика
1782,48.953911,46.789453,Полынный,ЮФО,АПП,0.0,2021,Число людей,Волгоградский,установлен,да,Республика Казахстан
1784,56.341761,28.248432,Посинь,СЗФО,ЖДПП,0.0,2021,Число людей,Псковский,установлен,нет,Латвийская Республика
1786,49.614111,128.680416,Поярково,ДФО,СПП,580.0,2021,Число людей,Хабаровский,установлен,да,Китайская Народная Республика
1791,57.814291,28.326674,Псков,СЗФО,РПП,0.0,2021,Число людей,Псковский,установлен,нет,Эстонская Республика
1793,57.0645000003278,27.9111000001431,Пыталово,СЗФО,ЖДПП,4395.0,2021,Число людей,Псковский,установлен,да,Латвийская Республика
1800,55.1583999991417,20.8500000014901,Рыбачий,СЗФО,РПП,0.0,2021,Число людей,Калининградский,установлен,да,Литовская Республика
1803,50.857938,56.142094,Сагарчин,ПФО,АПП,396111.0,2021,Число людей,Уральский,установлен,да,Республика Казахстан
1804,66.944902,29.038847,Салла,СЗФО,АПП,4301.0,2021,Число людей,Мурманский,установлен,да,Финляндская Республика
1806,59.955817,30.356343,Санкт-Петербург-Финляндский,СЗФО,ЖДПП,4546.0,2021,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
1810,50.710306,61.02061,Светлый,ПФО,АПП,0.0,2021,Число людей,Уральский,установлен,да,Республика Казахстан
1811,61.123856,28.841682,Светогорск,СЗФО,АПП,75012.0,2021,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
1812,61.118075,28.845818,Светогорск,СЗФО,ЖДПП,5304.0,2021,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
1813,56.3053999990225,28.4697999991477,Себеж,СЗФО,ЖДПП,8803.0,2021,Число людей,Псковский,установлен,да,Латвийская Республика
1817,56.8999,27.743,Скангали,СЗФО,ЖДПП,0.0,2021,Число людей,Псковский,установлен,нет,Латвийская Республика
1818,53.441899,123.967124,Сковородино,ДФО,СПП,0.0,2021,Число людей,Хабаровский,установлен,да,Китайская Народная Республика
1819,55.082342,21.903888,Советск,СЗФО,АПП,100612.0,2021,Число людей,Калининградский,установлен,да,Литовская Республика
1820,55.082342,21.879756,Советск,СЗФО,ЖДПП,2278.0,2021,Число людей,Калининградский,установлен,да,Литовская Республика
1821,55.084813,21.89674,"Советск (Русне, Юрбаркас)",СЗФО,РПП,0.0,2021,Число людей,Калининградский,установлен,нет,Литовская Республика
1823,49.886726,115.713356,Соловьевск,ДФО,АПП,0.0,2021,Число людей,Читинский,установлен,да,Монголия
1824,49.8947,115.7575,Соловьевск,ДФО,ЖДПП,514.0,2021,Число людей,Читинский,установлен,да,Монголия
1828,50.199642,119.337367,Староцурухайтуйский,ДФО,АПП,0.0,2021,Число людей,Читинский,установлен,да,Китайская Народная Республика
1829,58.574516,27.829775,Сторожинец,СЗФО,ОПП,0.0,2021,Число людей,Псковский,установлен,нет,Эстонская Республика
1830,51.172627,35.139334,Суджа,ЦФО,АПП,97756.0,2021,Число людей,Брянский,установлен,да,Украина
1831,52.318371,34.073437,Суземка,ЦФО,ЖДПП,92.0,2021,Число людей,Брянский,установлен,да,Украина
