,Наименование пункта пропуска,Филиал,latitude,longitude,Федеральный округ,Вид,Количество,Год,Категория,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство
2280,Абагайтуй,Читинский,49.5833,117.8167,ДФО,АПП,0,2017,Легковые транспортные средства,установлен,нет,Китайская Народная Республика
2282,Адлер,Сочинский,43.397314,40.002072,ЮФО,АПП,1769178,2017,Легковые транспортные средства,установлен,да,Республика Абхазия
2283,Адлер,Сочинский,43.40274645,39.99306761,ЮФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Республика Абхазия
2285,Айнек-Гол,Читинский,50.3678,103.279,ДФО,АПП,0,2017,Легковые транспортные средства,установлен,нет,Монголия
2286,Аксарайский,Волгоградский,46.7337,48.0892,ЮФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2288,Алтан,Читинский,49.8833,109.0667,ДФО,АПП,0,2017,Легковые транспортные средства,установлен,нет,Монголия
2289,Амурзет,Хабаровский,47.690284,131.073245,ДФО,СПП,0,2017,Легковые транспортные средства,установлен,да,Китайская Народная Республика
2298,Аспайты,Новосибирский,50.3099,90.0221,СФО,АПП,0,2017,Легковые транспортные средства,установлен,нет,Монголия
2301,Багратионовск,Калининградский,54.372517,20.659173,СЗФО,АПП,638904,2017,Легковые транспортные средства,установлен,да,Республика Польша
2302,Багратионовск,Калининградский,54.3927,20.6475,СЗФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,нет,Республика Польша
2304,Безымено,Белгородский,50.368527,35.756453,ЦФО,АПП,0,2017,Легковые транспортные средства,установлен,нет,Украина
2305,Белая Березка,Брянский,52.3835,33.4804,ЦФО,АПП,0,2017,Легковые транспортные средства,установлен,нет,Украина
2307,Белгород,Белгородский,50.593234,36.605675,ЦФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Украина
2310,Благовещенск,Хабаровский,50.249853,127.554133,ДФО,СПП,0,2017,Легковые транспортные средства,установлен,да,Китайская Народная Республика
2311,Благовещенск-1,Хабаровский,50.252764,127.547584,ДФО,ППП,0,2017,Легковые транспортные средства,установлен,нет,Китайская Народная Республика
2313,Большой Уссурийский,Хабаровский,48.347254,134.768252,ДФО,АПП,0,2017,Легковые транспортные средства,установлен,нет,Китайская Народная Республика
2314,Борисоглебск,Мурманский,69.655681,30.203183,СЗФО,АПП,110557,2017,Легковые транспортные средства,установлен,да,Королевство Норвегия
2316,Брунишево,Псковский,57.538718,27.471549,СЗФО,АПП,30653,2017,Легковые транспортные средства,установлен,да,Латвийская Республика
2317,Брусничное,Санкт-Петербургский,60.931202,28.560617,СЗФО,АПП,883233,2017,Легковые транспортные средства,установлен,да,Финляндская Республика
2318,Брусничное (Сайменский канал),Санкт-Петербургский,60.810182,28.737329,СЗФО,МПП,0,2017,Легковые транспортные средства,установлен,да,Финляндская Республика
2320,Брянск-Льговский,Брянский,53.213067,34.409548,ЦФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Украина
2321,Брянск-Орловский,Брянский,53.262436,34.405696,ЦФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Украина
2323,Бугристое,Уральский,54.006458,61.625926,УФО,АПП,391852,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2324,Бурачки,Псковский,56.356309,28.197336,СЗФО,АПП,189746,2017,Легковые транспортные средства,установлен,да,Латвийская Республика
2325,Бускульский,Уральский,53.796262,61.157583,УФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,нет,Республика Казахстан
2326,Бусловская,Санкт-Петербургский,60.840635,28.378262,СЗФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Финляндская Республика
2331,Вергелевка,Белгородский,50.3108,36.5807,ЦФО,АПП,0,2017,Легковые транспортные средства,установлен,нет,Украина
2332,Вериговка,Белгородский,50.197641,37.638937,ЦФО,АПП,35356,2017,Легковые транспортные средства,установлен,да,Украина
2333,Верхний Баскунчак,Волгоградский,46.724082,48.22708,ЮФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2334,Верхний Ларс,Северо-Кавказский,42.768431,44.631185,СКФО,АПП,630947,2017,Легковые транспортные средства,установлен,да,Республика Грузия
2335,Верхний Ульхун,Читинский,49.5112,112.602049,ДФО,АПП,874,2017,Легковые транспортные средства,установлен,да,Монголия
2337,Веселоярск,Новосибирский,51.211204,81.11318,СФО,АПП,96639,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2338,Вишневка,Волгоградский,49.429484,46.795764,ЮФО,АПП,49522,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2345,Воскресенское,Уральский,54.646153,65.803555,УФО,АПП,54794,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2347,Выборг,Санкт-Петербургский,60.715429,28.750744,СЗФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Финляндская Республика
2350,Вяртсиля,Санкт-Петербургский,62.168784,30.635873,СЗФО,АПП,705582,2017,Легковые транспортные средства,установлен,да,Финляндская Республика
2351,Вяртсиля,Санкт-Петербургский,62.168005,30.641338,СЗФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Финляндская Республика
2352,Гарах,Северо-Кавказский,41.490063,48.064536,СКФО,АПП,0,2017,Легковые транспортные средства,установлен,да,Азербайджанская Республика
2356,Глушково,Брянский,51.286303,34.731497,ЦФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Украина
