,Наименование пункта пропуска,Филиал,latitude,longitude,Федеральный округ,Вид,Количество,Год,Категория,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство
4436,Пограничный,Калининградский,55.059774,22.590262,СЗФО,АПП,0,2022,Легковые транспортные средства,установлен,да,Литовская Республика
4437,Пограничный,Владивостокский,44.39917,131.259668,ДФО,АПП,0,2022,Легковые транспортные средства,установлен,да,Китайская Народная Республика
4438,Пограничный,Владивостокский,44.40663,131.37327,ДФО,ЖДПП,0,2022,Легковые транспортные средства,установлен,да,Китайская Народная Республика
4439,Покровка,Читинский,53.343378,121.535043,ДФО,АПП,0,2022,Легковые транспортные средства,установлен,нет,Китайская Народная Республика
4440,Покровка,Хабаровский,46.723319,134.02228,ДФО,СПП,0,2022,Легковые транспортные средства,установлен,да,Китайская Народная Республика
4441,Полтавка,Владивостокский,44.018064,131.252823,ДФО,АПП,0,2022,Легковые транспортные средства,установлен,да,Китайская Народная Республика
4442,Полынный,Волгоградский,48.953911,46.789453,ЮФО,АПП,1870,2022,Легковые транспортные средства,установлен,да,Республика Казахстан
4444,Посинь,Псковский,56.341761,28.248432,СЗФО,ЖДПП,0,2022,Легковые транспортные средства,установлен,нет,Латвийская Республика
4446,Поярково,Хабаровский,49.614111,128.680416,ДФО,СПП,0,2022,Легковые транспортные средства,установлен,да,Китайская Народная Республика
4451,Псков,Псковский,57.814291,28.326674,СЗФО,РПП,0,2022,Легковые транспортные средства,установлен,нет,Эстонская Республика
4453,Пыталово,Псковский,57.0645000003278,27.9111000001431,СЗФО,ЖДПП,0,2022,Легковые транспортные средства,установлен,да,Латвийская Республика
4460,Рыбачий,Калининградский,55.1583999991417,20.8500000014901,СЗФО,РПП,0,2022,Легковые транспортные средства,установлен,да,Литовская Республика
4463,Сагарчин,Уральский,50.857938,56.142094,ПФО,АПП,194344,2022,Легковые транспортные средства,установлен,да,Республика Казахстан
4464,Салла,Мурманский,66.944902,29.038847,СЗФО,АПП,6687,2022,Легковые транспортные средства,установлен,да,Финляндская Республика
4466,Санкт-Петербург-Финляндский,Санкт-Петербургский,59.955817,30.356343,СЗФО,ЖДПП,0,2022,Легковые транспортные средства,установлен,да,Финляндская Республика
4470,Светлый,Уральский,50.710306,61.02061,ПФО,АПП,3059,2022,Легковые транспортные средства,установлен,да,Республика Казахстан
4471,Светогорск,Санкт-Петербургский,61.123856,28.841682,СЗФО,АПП,82829,2022,Легковые транспортные средства,установлен,да,Финляндская Республика
4472,Светогорск,Санкт-Петербургский,61.118075,28.845818,СЗФО,ЖДПП,0,2022,Легковые транспортные средства,установлен,да,Финляндская Республика
4473,Себеж,Псковский,56.3053999990225,28.4697999991477,СЗФО,ЖДПП,0,2022,Легковые транспортные средства,установлен,да,Латвийская Республика
4477,Скангали,Псковский,56.8999,27.743,СЗФО,ЖДПП,0,2022,Легковые транспортные средства,установлен,нет,Латвийская Республика
4478,Сковородино,Хабаровский,53.441899,123.967124,ДФО,СПП,0,2022,Легковые транспортные средства,установлен,да,Китайская Народная Республика
4479,Советск,Калининградский,55.082342,21.903888,СЗФО,АПП,7956,2022,Легковые транспортные средства,установлен,да,Литовская Республика
4480,Советск,Калининградский,55.082342,21.879756,СЗФО,ЖДПП,0,2022,Легковые транспортные средства,установлен,да,Литовская Республика
4481,"Советск (Русне, Юрбаркас)",Калининградский,55.084813,21.89674,СЗФО,РПП,0,2022,Легковые транспортные средства,установлен,нет,Литовская Республика
4483,Соловьевск,Читинский,49.886726,115.713356,ДФО,АПП,1744,2022,Легковые транспортные средства,установлен,да,Монголия
4484,Соловьевск,Читинский,49.8947,115.7575,ДФО,ЖДПП,0,2022,Легковые транспортные средства,установлен,да,Монголия
4488,Староцурухайтуйский,Читинский,50.199642,119.337367,ДФО,АПП,0,2022,Легковые транспортные средства,установлен,да,Китайская Народная Республика
4489,Сторожинец,Псковский,58.574516,27.829775,СЗФО,ОПП,0,2022,Легковые транспортные средства,установлен,нет,Эстонская Республика
4490,Суджа,Брянский,51.172627,35.139334,ЦФО,АПП,1422,2022,Легковые транспортные средства,установлен,да,Украина
4491,Суземка,Брянский,52.318371,34.073437,ЦФО,ЖДПП,0,2022,Легковые транспортные средства,установлен,да,Украина
4492,Суоперя,Санкт-Петербургский,65.798791,30.109591,СЗФО,АПП,2265,2022,Легковые транспортные средства,установлен,да,Финляндская Республика
4495,Сювяоро,Санкт-Петербургский,61.501999,29.61031,СЗФО,АПП,0,2022,Легковые транспортные средства,установлен,да,Финляндская Республика
4498,Тагиркент-Казмаляр,Северо-Кавказский,41.787765,48.54852,СКФО,АПП,3,2022,Легковые транспортные средства,установлен,да,Азербайджанская Республика
4500,Ташанта,Новосибирский,49.643629,89.44195,СФО,АПП,16844,2022,Легковые транспортные средства,установлен,да,Монголия
4503,Теплое,Уральский,51.504733,51.543277,ПФО,АПП,35573,2022,Легковые транспортные средства,установлен,да,Республика Казахстан
4504,Тёткино,Брянский,51.2789,34.285,ЦФО,ЖДПП,0,2022,Легковые транспортные средства,установлен,нет,Украина
4505,Тёткино (Бояро-Лежачи),Брянский,51.24417,34.298149,ЦФО,АПП,0,2022,Легковые транспортные средства,установлен,нет,Украина
4506,Тёткино (Рыжевка),Брянский,51.24413,34.298117,ЦФО,АПП,52,2022,Легковые транспортные средства,установлен,да,Украина
4508,Тишанка,Белгородский,50.391387,37.467621,ЦФО,АПП,0,2022,Легковые транспортные средства,установлен,нет,Украина
4511,Топольное,Новосибирский,50.918237,80.103876,СФО,АПП,2737,2022,Легковые транспортные средства,установлен,да,Республика Казахстан
4512,Торфяновка,Санкт-Петербургский,60.596099,27.913096,СЗФО,АПП,267082,2022,Легковые транспортные средства,установлен,да,Финляндская Республика
4513,Третьяково,Новосибирский,50.866700001061,81.895300000906,СФО,ЖДПП,0,2022,Легковые транспортные средства,установлен,да,Республика Казахстан
4514,Троебортное,Брянский,51.881005,34.337551,ЦФО,АПП,13839,2022,Легковые транспортные средства,установлен,да,Украина
4515,"Троицк (Кайрак, Магнай)",Уральский,54.1130000017583,61.5698999986053,УФО,ЖДПП,0,2022,Легковые транспортные средства,установлен,да,Республика Казахстан
4517,Турий Рог,Владивостокский,45.262249,131.978153,ДФО,АПП,0,2022,Легковые транспортные средства,установлен,да,Китайская Народная Республика
4519,Убур-Тохтор,Читинский,50.4167,113.8333,ДФО,АПП,0,2022,Легковые транспортные средства,установлен,нет,Монголия
4520,Убылинка,Псковский,56.87317,27.833766,СЗФО,АПП,29548,2022,Легковые транспортные средства,установлен,да,Латвийская Республика
4528,Ушаково,Хабаровский,51.883,126.5631,ДФО,СПП,0,2022,Легковые транспортные средства,установлен,нет,Китайская Народная Республика
4531,Хабаровск,Хабаровский,48.468957,135.057972,ДФО,РПП,0,2022,Легковые транспортные средства,установлен,да,Китайская Народная Республика
4533,Хандагайты (Боршо),Новосибирский,50.700218,92.069395,СФО,АПП,22289,2022,Легковые транспортные средства,установлен,да,Монголия
4535,Хасан,Владивостокский,42.430155,130.644336,ДФО,ЖДПП,0,2022,Легковые транспортные средства,установлен,да,Корейская Народно-Демократическая Республика
4537,Цаган-Толгой,Новосибирский,49.957094,95.62729,СФО,АПП,1411,2022,Легковые транспортные средства,установлен,да,Монголия
4541,Черлак,Новосибирский,54.155114,74.804456,СФО,РПП,0,2022,Легковые транспортные средства,установлен,да,Республика Казахстан
4542,Чернышевское,Калининградский,54.645721,22.736633,СЗФО,АПП,55587,2022,Легковые транспортные средства,установлен,да,Литовская Республика
4543,Черняховск,Калининградский,54.629537,21.817797,СЗФО,ЖДПП,0,2022,Легковые транспортные средства,установлен,да,Литовская Республика
4548,Шара-Сур,Новосибирский,50.515325,94.337233,СФО,АПП,136,2022,Легковые транспортные средства,установлен,да,Монголия
4550,Шебекино,Белгородский,50.352158,36.922684,ЦФО,АПП,35045,2022,Легковые транспортные средства,установлен,да,Украина
4551,Шумилкино,Псковский,57.644615,27.387415,СЗФО,АПП,64948,2022,Легковые транспортные средства,установлен,да,Эстонская Республика
4553,Эльтон,Волгоградский,49.130289,46.838265,ЮФО,ЖДПП,0,2022,Легковые транспортные средства,установлен,да,Республика Казахстан
4558,Яраг-Казмаляр,Северо-Кавказский,41.640607,48.40786,СКФО,АПП,3424,2022,Легковые транспортные средства,установлен,да,Азербайджанская Республика
4560,Абагайтуй,Читинский,49.5833,117.8167,ДФО,АПП,0,2017,Грузовые транспортные средства,установлен,нет,Китайская Народная Республика
4562,Адлер,Сочинский,43.397314,40.002072,ЮФО,АПП,105498,2017,Грузовые транспортные средства,установлен,да,Республика Абхазия
4563,Адлер,Сочинский,43.40274645,39.99306761,ЮФО,ЖДПП,647,2017,Грузовые транспортные средства,установлен,да,Республика Абхазия
4565,Айнек-Гол,Читинский,50.3678,103.279,ДФО,АПП,0,2017,Грузовые транспортные средства,установлен,нет,Монголия
4566,Аксарайский,Волгоградский,46.7337,48.0892,ЮФО,ЖДПП,8914,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4568,Алтан,Читинский,49.8833,109.0667,ДФО,АПП,0,2017,Грузовые транспортные средства,установлен,нет,Монголия
4569,Амурзет,Хабаровский,47.690284,131.073245,ДФО,СПП,3980,2017,Грузовые транспортные средства,установлен,да,Китайская Народная Республика
4578,Аспайты,Новосибирский,50.3099,90.0221,СФО,АПП,0,2017,Грузовые транспортные средства,установлен,нет,Монголия
4581,Багратионовск,Калининградский,54.372517,20.659173,СЗФО,АПП,31292,2017,Грузовые транспортные средства,установлен,да,Республика Польша
4582,Багратионовск,Калининградский,54.3927,20.6475,СЗФО,ЖДПП,0,2017,Грузовые транспортные средства,установлен,нет,Республика Польша
4584,Безымено,Белгородский,50.368527,35.756453,ЦФО,АПП,0,2017,Грузовые транспортные средства,установлен,нет,Украина
4585,Белая Березка,Брянский,52.3835,33.4804,ЦФО,АПП,0,2017,Грузовые транспортные средства,установлен,нет,Украина
4587,Белгород,Белгородский,50.593234,36.605675,ЦФО,ЖДПП,1571,2017,Грузовые транспортные средства,установлен,да,Украина
4590,Благовещенск,Хабаровский,50.249853,127.554133,ДФО,СПП,16388,2017,Грузовые транспортные средства,установлен,да,Китайская Народная Республика
4591,Благовещенск-1,Хабаровский,50.252764,127.547584,ДФО,ППП,0,2017,Грузовые транспортные средства,установлен,нет,Китайская Народная Республика
4593,Большой Уссурийский,Хабаровский,48.347254,134.768252,ДФО,АПП,0,2017,Грузовые транспортные средства,установлен,нет,Китайская Народная Республика
4594,Борисоглебск,Мурманский,69.655681,30.203183,СЗФО,АПП,890,2017,Грузовые транспортные средства,установлен,да,Королевство Норвегия
4596,Брунишево,Псковский,57.538718,27.471549,СЗФО,АПП,0,2017,Грузовые транспортные средства,установлен,да,Латвийская Республика
4597,Брусничное,Санкт-Петербургский,60.931202,28.560617,СЗФО,АПП,114795,2017,Грузовые транспортные средства,установлен,да,Финляндская Республика
4598,Брусничное (Сайменский канал),Санкт-Петербургский,60.810182,28.737329,СЗФО,МПП,538,2017,Грузовые транспортные средства,установлен,да,Финляндская Республика
4600,Брянск-Льговский,Брянский,53.213067,34.409548,ЦФО,ЖДПП,4891,2017,Грузовые транспортные средства,установлен,да,Украина
4601,Брянск-Орловский,Брянский,53.262436,34.405696,ЦФО,ЖДПП,376,2017,Грузовые транспортные средства,установлен,да,Украина
4603,Бугристое,Уральский,54.006458,61.625926,УФО,АПП,233923,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4604,Бурачки,Псковский,56.356309,28.197336,СЗФО,АПП,141165,2017,Грузовые транспортные средства,установлен,да,Латвийская Республика
4605,Бускульский,Уральский,53.796262,61.157583,УФО,ЖДПП,0,2017,Грузовые транспортные средства,установлен,нет,Республика Казахстан
4606,Бусловская,Санкт-Петербургский,60.840635,28.378262,СЗФО,ЖДПП,5675,2017,Грузовые транспортные средства,установлен,да,Финляндская Республика
4611,Вергелевка,Белгородский,50.3108,36.5807,ЦФО,АПП,0,2017,Грузовые транспортные средства,установлен,нет,Украина
4612,Вериговка,Белгородский,50.197641,37.638937,ЦФО,АПП,106,2017,Грузовые транспортные средства,установлен,да,Украина
4613,Верхний Баскунчак,Волгоградский,46.724082,48.22708,ЮФО,ЖДПП,3639,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4614,Верхний Ларс,Северо-Кавказский,42.768431,44.631185,СКФО,АПП,168407,2017,Грузовые транспортные средства,установлен,да,Республика Грузия
4615,Верхний Ульхун,Читинский,49.5112,112.602049,ДФО,АПП,7,2017,Грузовые транспортные средства,установлен,да,Монголия
4617,Веселоярск,Новосибирский,51.211204,81.11318,СФО,АПП,47499,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4618,Вишневка,Волгоградский,49.429484,46.795764,ЮФО,АПП,3001,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4625,Воскресенское,Уральский,54.646153,65.803555,УФО,АПП,3551,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4627,Выборг,Санкт-Петербургский,60.715429,28.750744,СЗФО,ЖДПП,0,2017,Грузовые транспортные средства,установлен,да,Финляндская Республика
4630,Вяртсиля,Санкт-Петербургский,62.168784,30.635873,СЗФО,АПП,81210,2017,Грузовые транспортные средства,установлен,да,Финляндская Республика
4631,Вяртсиля,Санкт-Петербургский,62.168005,30.641338,СЗФО,ЖДПП,983,2017,Грузовые транспортные средства,установлен,да,Финляндская Республика
4632,Гарах,Северо-Кавказский,41.490063,48.064536,СКФО,АПП,0,2017,Грузовые транспортные средства,установлен,да,Азербайджанская Республика
4636,Глушково,Брянский,51.286303,34.731497,ЦФО,ЖДПП,0,2017,Грузовые транспортные средства,установлен,да,Украина
4637,Головчино,Белгородский,50.4348,35.8312,ЦФО,АПП,0,2017,Грузовые транспортные средства,установлен,нет,Украина
4638,Головчино,Белгородский,50.511166,35.825004,ЦФО,ЖДПП,0,2017,Грузовые транспортные средства,установлен,да,Украина
4639,Горняк,Новосибирский,50.972275,81.420538,СФО,АПП,2707,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4640,Грайворон,Белгородский,50.43093,35.591033,ЦФО,АПП,1973,2017,Грузовые транспортные средства,установлен,да,Украина
4644,Гусев,Калининградский,54.343023,22.298854,СЗФО,АПП,162,2017,Грузовые транспортные средства,установлен,да,Республика Польша
4646,Дербент,Северо-Кавказский,42.056396,48.306587,СКФО,ЖДПП,7222,2017,Грузовые транспортные средства,установлен,да,Азербайджанская Республика
4647,Джалинда,Хабаровский,53.482007,123.888834,ДФО,СПП,0,2017,Грузовые транспортные средства,установлен,нет,Китайская Народная Республика
4651,Долбино,Белгородский,50.7621,35.5521,ЦФО,ЖДПП,0,2017,Грузовые транспортные средства,установлен,нет,Украина
4654,Дубки,Калининградский,55.066608,21.952485,СЗФО,АПП,0,2017,Грузовые транспортные средства,установлен,да,Литовская Республика
4659,Железнодорожный,Калининградский,54.356622,21.323472,СЗФО,АПП,0,2017,Грузовые транспортные средства,установлен,нет,Республика Польша
4660,Железнодорожный,Калининградский,54.35581,21.32322,СЗФО,ЖДПП,1298,2017,Грузовые транспортные средства,установлен,да,Республика Польша
4661,Желтура,Читинский,50.4742,105.1031,ДФО,АПП,0,2017,Грузовые транспортные средства,установлен,нет,Монголия
4663,Забайкальск,Читинский,49.632878,117.373814,ДФО,АПП,62551,2017,Грузовые транспортные средства,установлен,да,Китайская Народная Республика
4664,Забайкальск,Читинский,49.638766,117.331686,ДФО,ЖДПП,10042,2017,Грузовые транспортные средства,установлен,да,Китайская Народная Республика
4666,Зауралье,Уральский,54.789484,65.945636,УФО,ЖДПП,5927,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4667,Звериноголовское,Уральский,54.386677,64.805326,УФО,АПП,23060,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4668,Зерново,Брянский,52.192193,34.058658,ЦФО,АПП,0,2017,Грузовые транспортные средства,установлен,нет,Украина
4669,Ивангород,Санкт-Петербургский,59.376896,28.211033,СЗФО,АПП,56836,2017,Грузовые транспортные средства,установлен,да,Эстонская Республика
4670,Ивангород,Санкт-Петербургский,59.36793,28.233993,СЗФО,ЖДПП,3202,2017,Грузовые транспортные средства,установлен,да,Эстонская Республика
4671,Ивангород,Санкт-Петербургский,59.360621,28.200402,СЗФО,ППП,0,2017,Грузовые транспортные средства,установлен,да,Эстонская Республика
4674,Илек,Уральский,51.492998,53.382564,ПФО,АПП,27263,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4675,Илек-Пеньковка,Белгородский,50.751077,35.539322,ЦФО,ЖДПП,0,2017,Грузовые транспортные средства,установлен,да,Украина
4676,"Илецк-1 (Жайсан, Шынгырлау)",Уральский,51.1568999998271,54.9952999986708,ПФО,ЖДПП,10094,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4677,Инари,Санкт-Петербургский,63.304965,31.004307,СЗФО,АПП,4638,2017,Грузовые транспортные средства,установлен,да,Финляндская Республика
4679,Иртышское (Валиханово),Новосибирский,53.9109000004827,74.9037999995053,СФО,ЖДПП,452,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4680,Исилькуль,Новосибирский,54.9219999983907,71.0168999992311,СФО,АПП,64539,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4681,Исилькуль,Новосибирский,54.909388,71.263429,СФО,ЖДПП,56266,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4682,Кавказ,Сочинский,45.341123,36.675162,ЮФО,МПП,1840,2017,Грузовые транспортные средства,установлен,да,утратило значение (Украина)
4683,Казанское,Уральский,55.393328,69.338667,УФО,АПП,3268,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4685,Кайсацкое,Волгоградский,49.743903,46.84589,ЮФО,ЖДПП,413,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4690,Кани-Курган,Хабаровский,50.197449,127.641475,ДФО,АПП,0,2017,Грузовые транспортные средства,установлен,да,Китайская Народная Республика
4691,Карасук,Новосибирский,53.752359,78.053926,СФО,ЖДПП,315,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4692,Караузек,Волгоградский,46.545927,48.637239,ЮФО,АПП,80002,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4693,"Карталы (Аксу, Бускуль)",Уральский,53.052333,60.643455,УФО,ЖДПП,13192,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4694,Кварцитный,Уральский,54.0258076869129,61.7458551561277,УФО,ЖДПП,0,2017,Грузовые транспортные средства,установлен,нет,Республика Казахстан
4698,Колотиловка,Белгородский,50.813564,35.415016,ЦФО,АПП,267,2017,Грузовые транспортные средства,установлен,да,Украина
4699,Комсомольский,Уральский,51.576089,60.615823,ПФО,АПП,1698,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4700,Константиновка,Хабаровский,49.6167,127.9833,ДФО,СПП,0,2017,Грузовые транспортные средства,установлен,нет,Китайская Народная Республика
4703,Краскино,Владивостокский,42.768502,130.470716,ДФО,АПП,10026,2017,Грузовые транспортные средства,установлен,да,Китайская Народная Республика
4706,Крупец,Брянский,51.647524,34.137715,ЦФО,АПП,43764,2017,Грузовые транспортные средства,установлен,да,Украина
4707,Крупп,Псковский,57.895767,27.817193,СЗФО,АПП,0,2017,Грузовые транспортные средства,установлен,да,Эстонская Республика
4708,Крылово,Калининградский,54.3275,21.5533,СЗФО,АПП,0,2017,Грузовые транспортные средства,установлен,нет,Республика Польша
4712,Кулунда,Новосибирский,52.571772,78.935906,СФО,ЖДПП,4689,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4713,Кулунда (Шарбакты),Новосибирский,52.532284,78.630049,СФО,АПП,40704,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4714,Куничина Гора,Псковский,57.832371,27.595687,СЗФО,АПП,43660,2017,Грузовые транспортные средства,установлен,да,Эстонская Республика
4718,Кяхта,Читинский,50.325935,106.487149,ДФО,АПП,28667,2017,Грузовые транспортные средства,установлен,да,Монголия
4721,Лесозаводск,Владивостокский,45.45465120376154,133.3778381347585,ДФО,СПП,0,2017,Грузовые транспортные средства,установлен,нет,Китайская Народная Республика
4723,Логачевка,Белгородский,49.999964,37.951784,ЦФО,АПП,17,2017,Грузовые транспортные средства,установлен,да,Украина
4724,Локоть,Новосибирский,51.287835,81.103774,СФО,ЖДПП,3025,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4725,Локоть,Брянский,51.675,34.2175,ЦФО,ЖДПП,0,2017,Грузовые транспортные средства,установлен,нет,Украина
4726,Ломаковка,Брянский,52.295003,32.647313,ЦФО,АПП,318,2017,Грузовые транспортные средства,установлен,да,Украина
4727,Лотта,Мурманский,68.477378,28.477149,СЗФО,АПП,1253,2017,Грузовые транспортные средства,установлен,да,Финляндская Республика
4728,Лудонка,Псковский,57.132236,27.774503,СЗФО,АПП,52,2017,Грузовые транспортные средства,установлен,да,Латвийская Республика
4729,Люття,Санкт-Петербургский,64.545064,29.994016,СЗФО,АПП,33718,2017,Грузовые транспортные средства,установлен,да,Финляндская Республика
4730,Люття,Санкт-Петербургский,64.5496,30.665,СЗФО,ЖДПП,3094,2017,Грузовые транспортные средства,установлен,да,Финляндская Республика
4735,Макушино,Уральский,55.2213630695047,67.2304994999999,УФО,ЖДПП,0,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4736,Малиновое Озеро,Новосибирский,51.595588,79.437002,СФО,АПП,4114,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4737,Мамоново,Калининградский,54.447689,19.898678,СЗФО,ЖДПП,2627,2017,Грузовые транспортные средства,установлен,да,Республика Польша
4738,Мамоново (Гжехотки),Калининградский,54.424393,20.074312,СЗФО,АПП,44257,2017,Грузовые транспортные средства,установлен,да,Республика Польша
4739,Мамоново (Гроново),Калининградский,54.439183,19.901304,СЗФО,АПП,2110,2017,Грузовые транспортные средства,установлен,да,Республика Польша
4740,Мариинский,Уральский,52.319569,61.001741,УФО,АПП,8598,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4741,Марково,Владивостокский,45.550477,133.321171,ДФО,АПП,3587,2017,Грузовые транспортные средства,установлен,нет,Китайская Народная Республика
4744,Махалино,Владивостокский,42.681192,130.61768,ДФО,ЖДПП,1645,2017,Грузовые транспортные средства,установлен,да,Китайская Народная Республика
4747,Маштаково,Уральский,51.853502,50.896097,ПФО,АПП,238734,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4749,Михайловка,Новосибирский,50.807859,81.965854,СФО,АПП,20317,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4751,Монды,Читинский,51.636004,100.860313,ДФО,АПП,168,2017,Грузовые транспортные средства,установлен,да,Монголия
4752,Морское,Калининградский,55.278507,20.963083,СЗФО,АПП,1,2017,Грузовые транспортные средства,установлен,да,Литовская Республика
4757,Мугур-Аксы,Новосибирский,50.35,90.5,СФО,АПП,0,2017,Грузовые транспортные средства,установлен,нет,Монголия
4762,Наушки,Читинский,50.388174,106.100215,ДФО,ЖДПП,3787,2017,Грузовые транспортные средства,установлен,да,Монголия
4765,Неверовская,Новосибирский,50.982706,81.519878,СФО,ЖДПП,3137,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4766,Невольное,Новосибирский,53.7267000004649,73.8075000010431,СФО,АПП,6677,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4767,Нежеголь,Белгородский,50.372308,36.850314,ЦФО,ЖДПП,0,2017,Грузовые транспортные средства,установлен,да,Украина
4768,Нестеров,Калининградский,54.636192,22.73258,СЗФО,ЖДПП,0,2017,Грузовые транспортные средства,установлен,да,Литовская Республика
4769,Нехотеевка,Белгородский,50.338847,36.28717,ЦФО,АПП,76679,2017,Грузовые транспортные средства,установлен,да,Украина
4772,Нижнеленинское,Хабаровский,47.975056,132.671355,ДФО,ЖДПП,0,2017,Грузовые транспортные средства,установлен,да,Китайская Народная Республика
4773,Нижнеленинское,Хабаровский,47.961278,132.669774,ДФО,СПП,7332,2017,Грузовые транспортные средства,установлен,да,Китайская Народная Республика
4774,Нижний Зарамаг,Северо-Кавказский,42.669885,44.025982,СКФО,АПП,42126,2017,Грузовые транспортные средства,установлен,да,Республика Южная Осетия
4776,Николаевка,Уральский,53.003526,62.129645,УФО,АПП,13419,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4782,Ново-Филя,Северо-Кавказский,41.708056,48.473279,СКФО,АПП,0,2017,Грузовые транспортные средства,установлен,да,Азербайджанская Республика
4784,Новые Юрковичи,Брянский,52.116365,31.811135,ЦФО,АПП,53802,2017,Грузовые транспортные средства,установлен,да,Украина
4786,Одесское,Новосибирский,54.159304,72.792108,СФО,АПП,63779,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4787,Озинки,Волгоградский,51.216321,49.880509,ПФО,АПП,26950,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4788,Озинки,Волгоградский,51.194203,49.73407,ПФО,ЖДПП,2323,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4789,Олочи,Читинский,51.336732,119.873112,ДФО,АПП,2802,2017,Грузовые транспортные средства,установлен,да,Китайская Народная Республика
4791,Ольховка,Новосибирский,53.796579,75.051943,СФО,АПП,48088,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4797,Орск,Уральский,51.084344,58.475364,ПФО,АПП,55169,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4799,Орск,Уральский,51.086122,58.464716,ПФО,ЖДПП,3500,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4802,Павловка,Новосибирский,53.401993,77.709242,СФО,АПП,53834,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4803,Павловка (Славгород),Новосибирский,52.924229,78.268375,СФО,АПП,11400,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4805,Пашково,Хабаровский,48.884618,130.656092,ДФО,СПП,0,2017,Грузовые транспортные средства,установлен,нет,Китайская Народная Республика
4812,Петухово,Уральский,55.090975,68.242499,УФО,АПП,128438,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4813,Петухово,Уральский,55.070614,67.887333,УФО,ЖДПП,1567,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4814,Печоры-Псковские,Псковский,57.8357999995351,27.625300001353,СЗФО,ЖДПП,3270,2017,Грузовые транспортные средства,установлен,да,Эстонская Республика
4815,Погар,Брянский,52.369862,33.243985,ЦФО,АПП,19205,2017,Грузовые транспортные средства,установлен,да,Украина
4816,Пограничный,Калининградский,55.059774,22.590262,СЗФО,АПП,2883,2017,Грузовые транспортные средства,установлен,да,Литовская Республика
4817,Пограничный,Владивостокский,44.39917,131.259668,ДФО,АПП,45008,2017,Грузовые транспортные средства,установлен,да,Китайская Народная Республика
4818,Пограничный,Владивостокский,44.40663,131.37327,ДФО,ЖДПП,9752,2017,Грузовые транспортные средства,установлен,да,Китайская Народная Республика
4819,Покровка,Читинский,53.343378,121.535043,ДФО,АПП,0,2017,Грузовые транспортные средства,установлен,нет,Китайская Народная Республика
4820,Покровка,Хабаровский,46.723319,134.02228,ДФО,СПП,1613,2017,Грузовые транспортные средства,установлен,да,Китайская Народная Республика
4821,Полтавка,Владивостокский,44.018064,131.252823,ДФО,АПП,28613,2017,Грузовые транспортные средства,установлен,да,Китайская Народная Республика
4822,Полынный,Волгоградский,48.953911,46.789453,ЮФО,АПП,1427,2017,Грузовые транспортные средства,установлен,да,Республика Казахстан
4824,Посинь,Псковский,56.341761,28.248432,СЗФО,ЖДПП,0,2017,Грузовые транспортные средства,установлен,нет,Латвийская Республика
4826,Поярково,Хабаровский,49.614111,128.680416,ДФО,СПП,2510,2017,Грузовые транспортные средства,установлен,да,Китайская Народная Республика
