,Наименование пункта пропуска,Филиал,latitude,longitude,Федеральный округ,Вид,Количество,Год,Категория,Установлен / закрыт,Функционирует/не функционирует,Количество по паспорту
89,Джанкой,Крымский,45.709549,34.387751,ЮФО,ЖДПП,0,2017,Число людей,установлен,да,0
90,Диксон,Мурманский,73.505283051196,80.5035751779097,СФО,МПП,0,2017,Число людей,установлен,нет,0
91,Долбино,Белгородский,50.7621,35.5521,ЦФО,ЖДПП,0,2017,Число людей,установлен,нет,0
92,Донецк (Изварино),Ростовский,48.293035,39.913518,ЮФО,АПП,2899108,2017,Число людей,установлен,да,0
93,Донецк (Северный),Ростовский,48.34025,39.920856,ЮФО,АПП,0,2017,Число людей,установлен,нет,0
94,Дубки,Калининградский,55.066608,21.952485,СЗФО,АПП,0,2017,Число людей,установлен,да,5657500
95,Дудинка,Мурманский,69.397694,86.184119,СФО,МПП,285,2017,Число людей,установлен,да,0
96,Евпатория,Крымский,45.190034,33.373883,ЮФО,МПП,0,2017,Число людей,установлен,да,0
97,Ейск,Ростовский,46.724846,38.277461,ЮФО,МПП,23813,2017,Число людей,установлен,да,0
98,Екатеринбург (Кольцово),Уральский,56.750046,60.80097,УФО,ВПП,1964557,2017,Число людей,установлен,да,11388000
99,Железнодорожный,Калининградский,54.356622,21.323472,СЗФО,АПП,0,2017,Число людей,установлен,нет,0
100,Железнодорожный,Калининградский,54.35581,21.32322,СЗФО,ЖДПП,4179,2017,Число людей,установлен,да,0
101,Желтура,Читинский,50.4742,105.1031,ДФО,АПП,0,2017,Число людей,установлен,нет,0
102,Жуковский,Центральный аппарат,55.564948,38.139819,ЦФО,ВПП,335417,2017,Число людей,установлен,да,1000100
103,Забайкальск,Читинский,49.632878,117.373814,ДФО,АПП,1767368,2017,Число людей,установлен,да,1825000
104,Забайкальск,Читинский,49.638766,117.331686,ДФО,ЖДПП,34374,2017,Число людей,установлен,да,0
105,Зарубино,Владивостокский,42.642333,131.081648,ДФО,МПП,16807,2017,Число людей,установлен,да,0
106,Зауралье,Уральский,54.789484,65.945636,УФО,ЖДПП,12339,2017,Число людей,установлен,да,0
107,Звериноголовское,Уральский,54.386677,64.805326,УФО,АПП,198636,2017,Число людей,установлен,да,0
108,Зерново,Брянский,52.192193,34.058658,ЦФО,АПП,0,2017,Число людей,установлен,нет,0
109,Ивангород,Санкт-Петербургский,59.376896,28.211033,СЗФО,АПП,3765083,2017,Число людей,установлен,да,2555000
110,Ивангород,Санкт-Петербургский,59.36793,28.233993,СЗФО,ЖДПП,119183,2017,Число людей,установлен,да,438000
111,Ивангород,Санкт-Петербургский,59.360621,28.200402,СЗФО,ППП,35920,2017,Число людей,установлен,да,1095000
112,Иваново (Южный),Центральный аппарат,56.9422250121968,40.9305054999998,ЦФО,ВПП,0,2017,Число людей,установлен,нет,0
113,Ижевск,Волгоградский,55.0,55.0,ПФО,ВПП,0,2017,Число людей,установлен,нет,0
114,Илек,Уральский,51.492998,53.382564,ПФО,АПП,549491,2017,Число людей,установлен,да,0
115,Илек-Пеньковка,Белгородский,50.751077,35.539322,ЦФО,ЖДПП,0,2017,Число людей,установлен,да,0
116,"Илецк-1 (Жайсан, Шынгырлау)",Уральский,51.1568999998271,54.9952999986708,ПФО,ЖДПП,487154,2017,Число людей,установлен,да,0
117,Инари,Санкт-Петербургский,63.304965,31.004307,СЗФО,АПП,4837,2017,Число людей,установлен,да,0
118,Иркутск,Читинский,52.272805,104.35571,СФО,ВПП,612547,2017,Число людей,установлен,да,0
119,Иртышское (Валиханово),Новосибирский,53.9109000004827,74.9037999995053,СФО,ЖДПП,16905,2017,Число людей,установлен,да,0
120,Исилькуль,Новосибирский,54.9219999983907,71.0168999992311,СФО,АПП,773314,2017,Число людей,установлен,да,0
121,Исилькуль,Новосибирский,54.909388,71.263429,СФО,ЖДПП,406342,2017,Число людей,установлен,да,0
122,Кавказ,Сочинский,45.341123,36.675162,ЮФО,МПП,30880,2017,Число людей,установлен,да,876000
123,Казанское,Уральский,55.393328,69.338667,УФО,АПП,438183,2017,Число людей,установлен,да,0
124,Казань,Волгоградский,55.607409,49.301007,ПФО,ВПП,973531,2017,Число людей,установлен,да,5080800
125,Кайсацкое,Волгоградский,49.743903,46.84589,ЮФО,ЖДПП,1990,2017,Число людей,установлен,да,0
126,Калининград,Калининградский,54.698798,20.475572,СЗФО,МПП,58836,2017,Число людей,установлен,да,3679200
127,Калининград (Храброво),Калининградский,54.882897,20.585738,СЗФО,ВПП,149868,2017,Число людей,установлен,да,3854400
128,Калуга (Грабцево),Брянский,54.546743,36.366639,ЦФО,ВПП,2593,2017,Число людей,установлен,да,1752000
129,Кандалакша,Мурманский,67.137782,32.41278,СЗФО,МПП,1985,2017,Число людей,установлен,да,0
130,Кани-Курган,Хабаровский,50.197449,127.641475,ДФО,АПП,0,2017,Число людей,установлен,да,0
131,Карасук,Новосибирский,53.752359,78.053926,СФО,ЖДПП,24206,2017,Число людей,установлен,да,182500
132,Караузек,Волгоградский,46.545927,48.637239,ЮФО,АПП,949673,2017,Число людей,установлен,да,0
133,"Карталы (Аксу, Бускуль)",Уральский,53.052333,60.643455,УФО,ЖДПП,60784,2017,Число людей,установлен,да,0
134,Кварцитный,Уральский,54.0258076869129,61.7458551561277,УФО,ЖДПП,0,2017,Число людей,установлен,нет,0
135,Кемерово,Новосибирский,55.281972,86.119288,СФО,ВПП,131991,2017,Число людей,установлен,да,700800
136,Керчь,Крымский,45.35556,36.476485,ЮФО,МПП,8172,2017,Число людей,установлен,да,0
137,Клименки,Белгородский,50.0551,38.3698,ЦФО,АПП,0,2017,Число людей,установлен,нет,0
138,Колотиловка,Белгородский,50.813564,35.415016,ЦФО,АПП,135180,2017,Число людей,установлен,да,0
139,Комсомольский,Уральский,51.576089,60.615823,ПФО,АПП,16716,2017,Число людей,установлен,да,0
140,Константиновка,Хабаровский,49.6167,127.9833,ДФО,СПП,0,2017,Число людей,установлен,нет,0
141,Корсаков,Владивостокский,46.620378,142.768422,ДФО,МПП,55357,2017,Число людей,установлен,да,0
142,Крабозаводский,Владивостокский,43.8262,146.7486,ДФО,МПП,0,2017,Число людей,установлен,нет,0
143,Краскино,Владивостокский,42.768502,130.470716,ДФО,АПП,354719,2017,Число людей,установлен,да,0
144,Краснодар (Пашковский),Сочинский,45.033847,39.139303,ЮФО,ВПП,707996,2017,Число людей,установлен,да,4555200
