,Наименование пункта пропуска,Филиал,latitude,longitude,Федеральный округ,Вид,Количество,Год,Категория,Установлен / закрыт,Функционирует/не функционирует,Количество по паспорту
5227,Санкт-Петербург (Пулково),Санкт-Петербургский,59.800311,30.26996,СЗФО,ВПП,888,2018,Грузовые транспортные средства,установлен,да,0
5228,Саранск,Волгоградский,54.14783,45.221158,ПФО,ВПП,0,2018,Грузовые транспортные средства,установлен,нет,0
5229,Саратов (Гагарин),Волгоградский,51.558451,46.031133,ПФО,ВПП,0,2018,Грузовые транспортные средства,установлен,да,0
5230,Светлый,Уральский,50.710306,61.02061,ПФО,АПП,5425,2018,Грузовые транспортные средства,установлен,да,0
5231,Светогорск,Санкт-Петербургский,61.123856,28.841682,СЗФО,АПП,63499,2018,Грузовые транспортные средства,установлен,да,77015
5232,Светогорск,Санкт-Петербургский,61.118075,28.845818,СЗФО,ЖДПП,2560,2018,Грузовые транспортные средства,установлен,да,6570
5233,Себеж,Псковский,56.3053999990225,28.4697999991477,СЗФО,ЖДПП,9012,2018,Грузовые транспортные средства,установлен,да,12410
5234,Севастополь,Крымский,44.614917,33.526481,ЮФО,МПП,151,2018,Грузовые транспортные средства,установлен,да,0
5235,Симферополь,Крымский,45.019546,33.997492,ЮФО,ВПП,0,2018,Грузовые транспортные средства,установлен,да,0
5236,Симферополь,Крымский,44.961745,34.082217,ЮФО,ЖДПП,0,2018,Грузовые транспортные средства,установлен,нет,0
5237,Скангали,Псковский,56.8999,27.743,СЗФО,ЖДПП,0,2018,Грузовые транспортные средства,установлен,нет,0
5238,Сковородино,Хабаровский,53.441899,123.967124,ДФО,СПП,2,2018,Грузовые транспортные средства,установлен,да,0
5239,Советск,Калининградский,55.082342,21.903888,СЗФО,АПП,33318,2018,Грузовые транспортные средства,установлен,да,0
5240,Советск,Калининградский,55.082342,21.879756,СЗФО,ЖДПП,1008,2018,Грузовые транспортные средства,установлен,да,0
5241,"Советск (Русне, Юрбаркас)",Калининградский,55.084813,21.89674,СЗФО,РПП,0,2018,Грузовые транспортные средства,установлен,нет,0
5242,Советская Гавань,Хабаровский,48.97797,140.286373,ДФО,МПП,146,2018,Грузовые транспортные средства,установлен,да,0
5243,Соловьевск,Читинский,49.886726,115.713356,ДФО,АПП,15,2018,Грузовые транспортные средства,установлен,да,0
5244,Соловьевск,Читинский,49.8947,115.7575,ДФО,ЖДПП,298,2018,Грузовые транспортные средства,установлен,да,0
5245,Сочи,Сочинский,43.448578,39.941161,ЮФО,ВПП,116,2018,Грузовые транспортные средства,установлен,да,0
5246,Сочи,Сочинский,43.581097,39.718198,ЮФО,МПП,0,2018,Грузовые транспортные средства,установлен,да,900
5247,Ставрополь (Шпаковское),Ростовский,45.112537,42.104765,СКФО,ВПП,0,2018,Грузовые транспортные средства,установлен,да,0
5248,Староцурухайтуйский,Читинский,50.199642,119.337367,ДФО,АПП,6827,2018,Грузовые транспортные средства,установлен,да,0
5249,Сторожинец,Псковский,58.574516,27.829775,СЗФО,ОПП,0,2018,Грузовые транспортные средства,установлен,нет,0
5250,Суджа,Брянский,51.172627,35.139334,ЦФО,АПП,14388,2018,Грузовые транспортные средства,установлен,да,54750
5251,Суземка,Брянский,52.318371,34.073437,ЦФО,ЖДПП,6,2018,Грузовые транспортные средства,установлен,да,0
5252,Суоперя,Санкт-Петербургский,65.798791,30.109591,СЗФО,АПП,2164,2018,Грузовые транспортные средства,установлен,да,14600
5253,Сургут,Уральский,61.340063,73.405016,УФО,ВПП,3,2018,Грузовые транспортные средства,установлен,да,0
5254,Сыктывкар,Мурманский,61.663804,50.851443,СЗФО,ВПП,0,2018,Грузовые транспортные средства,установлен,да,0
5255,Сювяоро,Санкт-Петербургский,61.501999,29.61031,СЗФО,АПП,22572,2018,Грузовые транспортные средства,установлен,да,0
5256,Таганрог,Ростовский,47.205283,38.950843,ЮФО,МПП,898,2018,Грузовые транспортные средства,установлен,да,0
5257,Таганрог (Южный),Ростовский,47.197077,38.877235,ЮФО,ВПП,3,2018,Грузовые транспортные средства,установлен,да,0
5258,Тагиркент-Казмаляр,Северо-Кавказский,41.787765,48.54852,СКФО,АПП,0,2018,Грузовые транспортные средства,установлен,да,18250
5259,Тамань,Сочинский,45.133751,36.670166,ЮФО,МПП,944,2018,Грузовые транспортные средства,установлен,да,2190
5260,Ташанта,Новосибирский,49.643629,89.44195,СФО,АПП,7829,2018,Грузовые транспортные средства,установлен,да,5980
5261,Тверь (Мигалово),Центральный аппарат,56.829673,35.755184,ЦФО,ВПП,0,2018,Грузовые транспортные средства,установлен,да,0
5262,Темрюк,Сочинский,45.321156,37.368688,ЮФО,МПП,1860,2018,Грузовые транспортные средства,установлен,да,1095
5263,Теплое,Уральский,51.504733,51.543277,ПФО,АПП,24124,2018,Грузовые транспортные средства,установлен,да,0
5264,Тёткино,Брянский,51.2789,34.285,ЦФО,ЖДПП,0,2018,Грузовые транспортные средства,установлен,нет,0
5265,Тёткино (Бояро-Лежачи),Брянский,51.24417,34.298149,ЦФО,АПП,0,2018,Грузовые транспортные средства,установлен,нет,0
5266,Тёткино (Рыжевка),Брянский,51.24413,34.298117,ЦФО,АПП,838,2018,Грузовые транспортные средства,установлен,да,0
5267,Титовка,Ростовский,48.995,39.7369,ЮФО,АПП,0,2018,Грузовые транспортные средства,установлен,нет,0
5268,Тишанка,Белгородский,50.391387,37.467621,ЦФО,АПП,0,2018,Грузовые транспортные средства,установлен,нет,0
5269,Тобольск (Ремезов),Уральский,58.061721,68.330397,УФО,ВПП,0,2018,Грузовые транспортные средства,установлен,нет,0
5270,Томск (Богашево),Новосибирский,56.388117,85.209445,СФО,ВПП,0,2018,Грузовые транспортные средства,установлен,да,0
5271,Топольное,Новосибирский,50.918237,80.103876,СФО,АПП,5610,2018,Грузовые транспортные средства,установлен,да,0
5272,Торфяновка,Санкт-Петербургский,60.596099,27.913096,СЗФО,АПП,165592,2018,Грузовые транспортные средства,установлен,да,474500
5273,Третьяково,Новосибирский,50.866700001061,81.895300000906,СФО,ЖДПП,1226,2018,Грузовые транспортные средства,установлен,да,0
5274,Троебортное,Брянский,51.881005,34.337551,ЦФО,АПП,119168,2018,Грузовые транспортные средства,установлен,да,200750
5275,"Троицк (Кайрак, Магнай)",Уральский,54.1130000017583,61.5698999986053,УФО,ЖДПП,5724,2018,Грузовые транспортные средства,установлен,да,0
5276,Туапсе,Сочинский,44.093643,39.074688,ЮФО,МПП,2143,2018,Грузовые транспортные средства,установлен,да,1460
5277,Турий Рог,Владивостокский,45.262249,131.978153,ДФО,АПП,3157,2018,Грузовые транспортные средства,установлен,да,0
5278,Тюмень (Рощино),Уральский,57.181153,65.349182,УФО,ВПП,33,2018,Грузовые транспортные средства,установлен,да,0
5279,Убур-Тохтор,Читинский,50.4167,113.8333,ДФО,АПП,0,2018,Грузовые транспортные средства,установлен,нет,0
5280,Убылинка,Псковский,56.87317,27.833766,СЗФО,АПП,68788,2018,Грузовые транспортные средства,установлен,да,109500
5281,Углегорск,Владивостокский,49.076574,142.033563,ДФО,МПП,0,2018,Грузовые транспортные средства,установлен,нет,0
5282,Улан-Удэ (Мухино),Читинский,51.804968,107.443873,ДФО,ВПП,17,2018,Грузовые транспортные средства,установлен,да,0
5283,Ульяновск (Баратаевка),Волгоградский,54.2648,48.2235,ПФО,ВПП,0,2018,Грузовые транспортные средства,установлен,да,0
5284,Ульяновск (Восточный),Волгоградский,54.414059,48.800202,ПФО,ВПП,98,2018,Грузовые транспортные средства,установлен,да,0
5285,Успенская,Ростовский,47.688997,38.677759,ЮФО,ЖДПП,6363,2018,Грузовые транспортные средства,установлен,да,0
5286,Усть-Луга,Санкт-Петербургский,59.694155,28.431728,СЗФО,МПП,4757,2018,Грузовые транспортные средства,установлен,да,3650
5287,Уфа,Уральский,54.343363,55.504405,ПФО,ВПП,85,2018,Грузовые транспортные средства,установлен,да,0
5288,Ушаково,Хабаровский,51.883,126.5631,ДФО,СПП,0,2018,Грузовые транспортные средства,установлен,нет,0
5289,Уэлен,Владивостокский,66.157446,190.19614,ДФО,МПП,0,2018,Грузовые транспортные средства,установлен,нет,0
5290,Феодосия,Крымский,45.030754,35.385505,ЮФО,МПП,63,2018,Грузовые транспортные средства,установлен,да,0
5291,Хабаровск,Хабаровский,48.468957,135.057972,ДФО,РПП,904,2018,Грузовые транспортные средства,установлен,да,1456
5292,Хабаровск (Новый),Хабаровский,48.52694,135.172442,ДФО,ВПП,221,2018,Грузовые транспортные средства,установлен,да,0
5293,Хандагайты (Боршо),Новосибирский,50.700218,92.069395,СФО,АПП,3379,2018,Грузовые транспортные средства,установлен,да,13455
5294,Ханты-Мансийск,Уральский,61.026293,69.096166,УФО,ВПП,2,2018,Грузовые транспортные средства,установлен,да,0
5295,Хасан,Владивостокский,42.430155,130.644336,ДФО,ЖДПП,392,2018,Грузовые транспортные средства,установлен,да,0
5296,Холмск,Владивостокский,47.046599,142.044024,ДФО,МПП,433,2018,Грузовые транспортные средства,установлен,да,0
5297,Цаган-Толгой,Новосибирский,49.957094,95.62729,СФО,АПП,133,2018,Грузовые транспортные средства,установлен,да,5980
5298,Чебоксары,Волгоградский,56.132199998945,47.2518999986351,ПФО,ВПП,1,2018,Грузовые транспортные средства,установлен,да,0
5299,Челябинск (Баландино),Уральский,55.297409,61.511778,УФО,ВПП,27,2018,Грузовые транспортные средства,установлен,да,0
5300,Череповец,Санкт-Петербургский,59.281663,38.021305,СЗФО,ВПП,0,2018,Грузовые транспортные средства,установлен,да,0
5301,Черлак,Новосибирский,54.155114,74.804456,СФО,РПП,132,2018,Грузовые транспортные средства,установлен,да,0
5302,Чернышевское,Калининградский,54.645721,22.736633,СЗФО,АПП,128113,2018,Грузовые транспортные средства,установлен,да,109500
5303,Черняховск,Калининградский,54.629537,21.817797,СЗФО,ЖДПП,0,2018,Грузовые транспортные средства,установлен,да,0
5304,Чертково,Ростовский,49.387003,40.123997,ЮФО,АПП,161,2018,Грузовые транспортные средства,установлен,да,0
5305,Чертково,Ростовский,49.37829,40.145063,ЮФО,ЖДПП,0,2018,Грузовые транспортные средства,установлен,нет,0
5306,Чита (Кадала),Читинский,52.020311,113.308658,ДФО,ВПП,70,2018,Грузовые транспортные средства,установлен,да,0
5307,Чкаловский,Центральный аппарат,55.894051,38.049942,ЦФО,ВПП,20,2018,Грузовые транспортные средства,установлен,да,0
5308,Шара-Сур,Новосибирский,50.515325,94.337233,СФО,АПП,26,2018,Грузовые транспортные средства,установлен,да,2470
5309,Шахтерск,Владивостокский,49.161656,142.057986,ДФО,МПП,0,2018,Грузовые транспортные средства,установлен,да,365
5310,Шебекино,Белгородский,50.352158,36.922684,ЦФО,АПП,11976,2018,Грузовые транспортные средства,установлен,да,73000
5311,Шумилкино,Псковский,57.644615,27.387415,СЗФО,АПП,58892,2018,Грузовые транспортные средства,установлен,да,109500
5312,Элиста,Волгоградский,46.369372,44.330585,ЮФО,ВПП,0,2018,Грузовые транспортные средства,установлен,да,0
5313,Эльтон,Волгоградский,49.130289,46.838265,ЮФО,ЖДПП,453,2018,Грузовые транспортные средства,установлен,да,0
5314,Южная Озереевка,Сочинский,44.669291,37.654061,ЮФО,МПП,1117,2018,Грузовые транспортные средства,установлен,да,1095
5315,Южно-Сахалинск (Хомутово),Владивостокский,46.886816,142.723799,ДФО,ВПП,156,2018,Грузовые транспортные средства,установлен,да,0
5316,Якутск,Хабаровский,62.085867,129.75053,ДФО,ВПП,41,2018,Грузовые транспортные средства,установлен,да,0
5317,Ялта,Крымский,44.495188,34.172098,ЮФО,МПП,0,2018,Грузовые транспортные средства,установлен,да,0
5318,Яраг-Казмаляр,Северо-Кавказский,41.640607,48.40786,СКФО,АПП,110344,2018,Грузовые транспортные средства,установлен,да,109500
5319,Ярославль (Туношна),Центральный аппарат,57.5456000007689,40.125799998641,ЦФО,ВПП,43,2018,Грузовые транспортные средства,установлен,да,0
5320,Абагайтуй,Читинский,49.5833,117.8167,ДФО,АПП,0,2019,Грузовые транспортные средства,установлен,нет,0
5321,Абакан,Новосибирский,53.751561,91.400039,СФО,ВПП,74,2019,Грузовые транспортные средства,установлен,да,365
5322,Адлер,Сочинский,43.397314,40.002072,ЮФО,АПП,97161,2019,Грузовые транспортные средства,установлен,да,54750
5323,Адлер,Сочинский,43.40274645,39.99306761,ЮФО,ЖДПП,495,2019,Грузовые транспортные средства,установлен,да,1095
5324,Азов,Ростовский,47.119011,39.417494,ЮФО,МПП,2699,2019,Грузовые транспортные средства,установлен,да,694
5325,Айнек-Гол,Читинский,50.3678,103.279,ДФО,АПП,0,2019,Грузовые транспортные средства,установлен,нет,0
5326,Аксарайский,Волгоградский,46.7337,48.0892,ЮФО,ЖДПП,6716,2019,Грузовые транспортные средства,установлен,да,0
5327,Александровск-Сахалинский,Владивостокский,50.894461,142.146687,ДФО,МПП,0,2019,Грузовые транспортные средства,установлен,нет,0
5328,Алтан,Читинский,49.8833,109.0667,ДФО,АПП,0,2019,Грузовые транспортные средства,установлен,нет,0
5329,Амурзет,Хабаровский,47.690284,131.073245,ДФО,СПП,5300,2019,Грузовые транспортные средства,установлен,да,"речные суда (грузо-пассажирские) - 780, автотранспортные средства в навигационный период -3 900, в период ледостава - 4160
"
5330,Анадырь,Владивостокский,64.740179,177.507531,ДФО,МПП,13,2019,Грузовые транспортные средства,установлен,да,546
5331,Анадырь (Угольный),Владивостокский,64.713322,177.737705,ДФО,ВПП,1,2019,Грузовые транспортные средства,установлен,да,0
5332,Анапа,Сочинский,44.897531,37.304278,ЮФО,МПП,12,2019,Грузовые транспортные средства,установлен,да,730
5333,Анапа (Витязево),Сочинский,45.002826,37.340337,ЮФО,ВПП,116,2019,Грузовые транспортные средства,установлен,да,0
5334,Армянск,Крымский,46.136665,33.646077,ЮФО,АПП,117,2019,Грузовые транспортные средства,установлен,да,10950
5335,Армянск,Крымский,46.115953,33.702811,ЮФО,ЖДПП,0,2019,Грузовые транспортные средства,установлен,да,0
5336,Архангельск,Мурманский,64.528454,40.54068,СЗФО,МПП,614,2019,Грузовые транспортные средства,установлен,да,0
5337,Архангельск (Талаги),Мурманский,64.595784,40.710779,СЗФО,ВПП,0,2019,Грузовые транспортные средства,установлен,да,0
5338,Аспайты,Новосибирский,50.3099,90.0221,СФО,АПП,0,2019,Грузовые транспортные средства,установлен,нет,0
5339,Астрахань,Волгоградский,46.360711,48.037058,ЮФО,МПП,3994,2019,Грузовые транспортные средства,установлен,да,0
5340,Астрахань (Нариманово),Волгоградский,46.287118,47.999856,ЮФО,ВПП,14,2019,Грузовые транспортные средства,установлен,да,0
5341,Багратионовск,Калининградский,54.372517,20.659173,СЗФО,АПП,26276,2019,Грузовые транспортные средства,установлен,да,73000
5342,Багратионовск,Калининградский,54.3927,20.6475,СЗФО,ЖДПП,0,2019,Грузовые транспортные средства,установлен,нет,0
5343,Барнаул,Новосибирский,53.36153,83.548411,СФО,ВПП,0,2019,Грузовые транспортные средства,установлен,да,0
5344,Безымено,Белгородский,50.368527,35.756453,ЦФО,АПП,0,2019,Грузовые транспортные средства,установлен,нет,0
5345,Белая Березка,Брянский,52.3835,33.4804,ЦФО,АПП,0,2019,Грузовые транспортные средства,установлен,нет,0
5346,Белгород,Белгородский,50.645132,36.570298,ЦФО,ВПП,0,2019,Грузовые транспортные средства,установлен,да,0
5347,Белгород,Белгородский,50.593234,36.605675,ЦФО,ЖДПП,1275,2019,Грузовые транспортные средства,установлен,да,0
5348,Беринговский,Владивостокский,63.064571,179.366523,ДФО,МПП,24,2019,Грузовые транспортные средства,установлен,да,91
5349,Благовещенск,Хабаровский,50.420907,127.407967,ДФО,ВПП,2,2019,Грузовые транспортные средства,установлен,да,0
5350,Благовещенск,Хабаровский,50.249853,127.554133,ДФО,СПП,21515,2019,Грузовые транспортные средства,установлен,да,182.5
5351,Благовещенск-1,Хабаровский,50.252764,127.547584,ДФО,ППП,0,2019,Грузовые транспортные средства,установлен,нет,0
5352,Большой порт Санкт-Петербург,Санкт-Петербургский,59.948243,30.194517,СЗФО,МПП,9561,2019,Грузовые транспортные средства,установлен,да,0
5353,Большой Уссурийский,Хабаровский,48.347254,134.768252,ДФО,АПП,0,2019,Грузовые транспортные средства,установлен,нет,0
5354,Борисоглебск,Мурманский,69.655681,30.203183,СЗФО,АПП,928,2019,Грузовые транспортные средства,установлен,да,0
5355,Братск,Читинский,56.365225,101.702708,СФО,ВПП,0,2019,Грузовые транспортные средства,установлен,да,0
5356,Брунишево,Псковский,57.538718,27.471549,СЗФО,АПП,0,2019,Грузовые транспортные средства,установлен,да,0
5357,Брусничное,Санкт-Петербургский,60.931202,28.560617,СЗФО,АПП,140233,2019,Грузовые транспортные средства,установлен,да,292000
5358,Брусничное (Сайменский канал),Санкт-Петербургский,60.810182,28.737329,СЗФО,МПП,1452,2019,Грузовые транспортные средства,установлен,да,0
5359,Брянск,Брянский,53.21364,34.182827,ЦФО,ВПП,0,2019,Грузовые транспортные средства,установлен,да,0
5360,Брянск-Льговский,Брянский,53.213067,34.409548,ЦФО,ЖДПП,4244,2019,Грузовые транспортные средства,установлен,да,0
5361,Брянск-Орловский,Брянский,53.262436,34.405696,ЦФО,ЖДПП,0,2019,Грузовые транспортные средства,установлен,да,0
5362,Бугаевка,Белгородский,49.609088,39.713156,ЦФО,АПП,5536,2019,Грузовые транспортные средства,установлен,да,36500
5363,Бугристое,Уральский,54.006458,61.625926,УФО,АПП,254429,2019,Грузовые транспортные средства,установлен,да,109500
5364,Бурачки,Псковский,56.356309,28.197336,СЗФО,АПП,138230,2019,Грузовые транспортные средства,установлен,да,109500
5365,Бускульский,Уральский,53.796262,61.157583,УФО,ЖДПП,0,2019,Грузовые транспортные средства,установлен,нет,0
5366,Бусловская,Санкт-Петербургский,60.840635,28.378262,СЗФО,ЖДПП,5834,2019,Грузовые транспортные средства,установлен,да,8760
5367,Валуйки,Белгородский,50.078024,38.176687,ЦФО,АПП,0,2019,Грузовые транспортные средства,установлен,да,0
5368,Валуйки,Белгородский,50.200012,38.120155,ЦФО,ЖДПП,10746,2019,Грузовые транспортные средства,установлен,да,0
5369,Ванино,Хабаровский,49.088733,140.266393,ДФО,МПП,1393,2019,Грузовые транспортные средства,установлен,да,0
5370,Варандей,Мурманский,68.800279,57.984684,СЗФО,МПП,0,2019,Грузовые транспортные средства,установлен,да,365
5371,Вергелевка,Белгородский,50.3108,36.5807,ЦФО,АПП,0,2019,Грузовые транспортные средства,установлен,нет,0
5372,Вериговка,Белгородский,50.197641,37.638937,ЦФО,АПП,33,2019,Грузовые транспортные средства,установлен,да,0
5373,Верхний Баскунчак,Волгоградский,46.724082,48.22708,ЮФО,ЖДПП,124,2019,Грузовые транспортные средства,установлен,да,0
5374,Верхний Ларс,Северо-Кавказский,42.768431,44.631185,СКФО,АПП,227581,2019,Грузовые транспортные средства,установлен,да,62050
5375,Верхний Ульхун,Читинский,49.5112,112.602049,ДФО,АПП,13,2019,Грузовые транспортные средства,установлен,да,0
5376,Весело-Вознесенка,Ростовский,47.1616,38.242846,ЮФО,АПП,48075,2019,Грузовые транспортные средства,установлен,да,109500
5377,Веселоярск,Новосибирский,51.211204,81.11318,СФО,АПП,45281,2019,Грузовые транспортные средства,установлен,да,0
5378,Вишневка,Волгоградский,49.429484,46.795764,ЮФО,АПП,2703,2019,Грузовые транспортные средства,установлен,да,0
5379,Владивосток,Владивостокский,43.105749,131.877652,ДФО,МПП,5302,2019,Грузовые транспортные средства,установлен,да,0
5380,Владивосток (Кневичи),Владивостокский,43.396247,132.165299,ДФО,ВПП,52,2019,Грузовые транспортные средства,установлен,да,0
5381,Владикавказ (Беслан),Северо-Кавказский,43.201899,44.60439,СКФО,ВПП,0,2019,Грузовые транспортные средства,установлен,да,0
5382,Волгоград (Гумрак),Волгоградский,48.791462,44.353793,ЮФО,ВПП,0,2019,Грузовые транспортные средства,установлен,да,0
5383,Волошино,Ростовский,48.905176,39.918452,ЮФО,АПП,0,2019,Грузовые транспортные средства,установлен,да,0
5384,Воронеж (Чертовицкое),Белгородский,51.81262,39.225338,ЦФО,ВПП,1,2019,Грузовые транспортные средства,установлен,да,0
5385,Воскресенское,Уральский,54.646153,65.803555,УФО,АПП,3520,2019,Грузовые транспортные средства,установлен,да,0
5386,Восточный,Владивостокский,42.727218,133.080673,ДФО,МПП,3178,2019,Грузовые транспортные средства,установлен,да,950-1000
5387,Выборг,Санкт-Петербургский,60.715429,28.750744,СЗФО,ЖДПП,0,2019,Грузовые транспортные средства,установлен,да,0
5388,Выборг,Санкт-Петербургский,60.711728,28.729694,СЗФО,МПП,466,2019,Грузовые транспортные средства,установлен,да,0
5389,Высоцк,Санкт-Петербургский,60.620042,28.563961,СЗФО,МПП,1165,2019,Грузовые транспортные средства,установлен,да,1460
5390,Вяртсиля,Санкт-Петербургский,62.168784,30.635873,СЗФО,АПП,94991,2019,Грузовые транспортные средства,установлен,да,43800
5391,Вяртсиля,Санкт-Петербургский,62.168005,30.641338,СЗФО,ЖДПП,1078,2019,Грузовые транспортные средства,установлен,да,4380
5392,Гарах,Северо-Кавказский,41.490063,48.064536,СКФО,АПП,0,2019,Грузовые транспортные средства,установлен,да,0
5393,Гартмашевка,Белгородский,49.6034,39.9757,ЦФО,ЖДПП,0,2019,Грузовые транспортные средства,установлен,нет,0
5394,Геленджик,Сочинский,44.593701,38.025046,ЮФО,ВПП,0,2019,Грузовые транспортные средства,установлен,нет,0
5395,Геленджик,Сочинский,44.578298,38.022025,ЮФО,МПП,0,2019,Грузовые транспортные средства,установлен,нет,730
5396,Глушково,Брянский,51.286303,34.731497,ЦФО,ЖДПП,0,2019,Грузовые транспортные средства,установлен,да,0
5397,Головчино,Белгородский,50.4348,35.8312,ЦФО,АПП,0,2019,Грузовые транспортные средства,установлен,нет,0
5398,Головчино,Белгородский,50.511166,35.825004,ЦФО,ЖДПП,0,2019,Грузовые транспортные средства,установлен,да,0
5399,Горняк,Новосибирский,50.972275,81.420538,СФО,АПП,4516,2019,Грузовые транспортные средства,установлен,да,0
5400,Грайворон,Белгородский,50.43093,35.591033,ЦФО,АПП,2490,2019,Грузовые транспортные средства,установлен,да,54750
5401,Грозный (Северный),Северо-Кавказский,43.384606,45.699198,СКФО,ВПП,0,2019,Грузовые транспортные средства,установлен,да,0
5402,Гуково,Ростовский,48.061967,39.843771,ЮФО,АПП,19458,2019,Грузовые транспортные средства,установлен,да,10950
5403,Гуково,Ростовский,48.048718,39.939344,ЮФО,ЖДПП,2196,2019,Грузовые транспортные средства,установлен,да,0
5404,Гусев,Калининградский,54.343023,22.298854,СЗФО,АПП,42,2019,Грузовые транспортные средства,установлен,да,63875
5405,Де-Кастри,Хабаровский,51.468998,140.774103,ДФО,МПП,311,2019,Грузовые транспортные средства,установлен,да,0
5406,Дербент,Северо-Кавказский,42.056396,48.306587,СКФО,ЖДПП,8059,2019,Грузовые транспортные средства,установлен,да,5840
5407,Джалинда,Хабаровский,53.482007,123.888834,ДФО,СПП,0,2019,Грузовые транспортные средства,установлен,нет,0
5408,Джанкой,Крымский,45.976242,34.571801,ЮФО,АПП,164,2019,Грузовые транспортные средства,установлен,да,14600
5409,Джанкой,Крымский,45.709549,34.387751,ЮФО,ЖДПП,0,2019,Грузовые транспортные средства,установлен,да,0
5410,Диксон,Мурманский,73.505283051196,80.5035751779097,СФО,МПП,0,2019,Грузовые транспортные средства,установлен,нет,0
5411,Долбино,Белгородский,50.7621,35.5521,ЦФО,ЖДПП,0,2019,Грузовые транспортные средства,установлен,нет,0
5412,Донецк (Изварино),Ростовский,48.293035,39.913518,ЮФО,АПП,29154,2019,Грузовые транспортные средства,установлен,да,36500
5413,Донецк (Северный),Ростовский,48.34025,39.920856,ЮФО,АПП,0,2019,Грузовые транспортные средства,установлен,нет,0
5414,Дубки,Калининградский,55.066608,21.952485,СЗФО,АПП,0,2019,Грузовые транспортные средства,установлен,да,456250
5415,Дудинка,Мурманский,69.397694,86.184119,СФО,МПП,6,2019,Грузовые транспортные средства,установлен,да,0
5416,Евпатория,Крымский,45.190034,33.373883,ЮФО,МПП,0,2019,Грузовые транспортные средства,установлен,да,0
5417,Ейск,Ростовский,46.724846,38.277461,ЮФО,МПП,1806,2019,Грузовые транспортные средства,установлен,да,4380
5418,Екатеринбург (Кольцово),Уральский,56.750046,60.80097,УФО,ВПП,662,2019,Грузовые транспортные средства,установлен,да,0
5419,Железнодорожный,Калининградский,54.356622,21.323472,СЗФО,АПП,0,2019,Грузовые транспортные средства,установлен,нет,0
5420,Железнодорожный,Калининградский,54.35581,21.32322,СЗФО,ЖДПП,1580,2019,Грузовые транспортные средства,установлен,да,0
5421,Желтура,Читинский,50.4742,105.1031,ДФО,АПП,0,2019,Грузовые транспортные средства,установлен,нет,0
5422,Жуковский,Центральный аппарат,55.564948,38.139819,ЦФО,ВПП,235,2019,Грузовые транспортные средства,установлен,да,0
5423,Забайкальск,Читинский,49.632878,117.373814,ДФО,АПП,67970,2019,Грузовые транспортные средства,установлен,да,102200
5424,Забайкальск,Читинский,49.638766,117.331686,ДФО,ЖДПП,11974,2019,Грузовые транспортные средства,установлен,да,18980
5425,Зарубино,Владивостокский,42.642333,131.081648,ДФО,МПП,866,2019,Грузовые транспортные средства,установлен,да,0
5426,Зауралье,Уральский,54.789484,65.945636,УФО,ЖДПП,5526,2019,Грузовые транспортные средства,установлен,да,0
5427,Звериноголовское,Уральский,54.386677,64.805326,УФО,АПП,22671,2019,Грузовые транспортные средства,установлен,да,0
5428,Зерново,Брянский,52.192193,34.058658,ЦФО,АПП,0,2019,Грузовые транспортные средства,установлен,нет,0
5429,Ивангород,Санкт-Петербургский,59.376896,28.211033,СЗФО,АПП,60829,2019,Грузовые транспортные средства,установлен,да,73000
5430,Ивангород,Санкт-Петербургский,59.36793,28.233993,СЗФО,ЖДПП,3544,2019,Грузовые транспортные средства,установлен,да,7300
5431,Ивангород,Санкт-Петербургский,59.360621,28.200402,СЗФО,ППП,0,2019,Грузовые транспортные средства,установлен,да,0
5432,Иваново (Южный),Центральный аппарат,56.9422250121968,40.9305054999998,ЦФО,ВПП,0,2019,Грузовые транспортные средства,установлен,нет,0
5433,Ижевск,Волгоградский,55.0,55.0,ПФО,ВПП,0,2019,Грузовые транспортные средства,установлен,нет,0
5434,Илек,Уральский,51.492998,53.382564,ПФО,АПП,29592,2019,Грузовые транспортные средства,установлен,да,0
5435,Илек-Пеньковка,Белгородский,50.751077,35.539322,ЦФО,ЖДПП,0,2019,Грузовые транспортные средства,установлен,да,0
5436,"Илецк-1 (Жайсан, Шынгырлау)",Уральский,51.1568999998271,54.9952999986708,ПФО,ЖДПП,10273,2019,Грузовые транспортные средства,установлен,да,0
5437,Инари,Санкт-Петербургский,63.304965,31.004307,СЗФО,АПП,5495,2019,Грузовые транспортные средства,установлен,да,0
5438,Иркутск,Читинский,52.272805,104.35571,СФО,ВПП,32,2019,Грузовые транспортные средства,установлен,да,0
5439,Иртышское (Валиханово),Новосибирский,53.9109000004827,74.9037999995053,СФО,ЖДПП,691,2019,Грузовые транспортные средства,установлен,да,0
5440,Исилькуль,Новосибирский,54.9219999983907,71.0168999992311,СФО,АПП,57371,2019,Грузовые транспортные средства,установлен,да,0
5441,Исилькуль,Новосибирский,54.909388,71.263429,СФО,ЖДПП,57000,2019,Грузовые транспортные средства,установлен,да,0
5442,Кавказ,Сочинский,45.341123,36.675162,ЮФО,МПП,1999,2019,Грузовые транспортные средства,установлен,да,15695
5443,Казанское,Уральский,55.393328,69.338667,УФО,АПП,2907,2019,Грузовые транспортные средства,установлен,да,0
5444,Казань,Волгоградский,55.607409,49.301007,ПФО,ВПП,354,2019,Грузовые транспортные средства,установлен,да,0
