,latitude,longitude,Наименование пункта пропуска,Федеральный округ,Вид,Количество,Год,Категория,Филиал,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство,Количество по паспорту,Количество (Факт/Паспорт)
325,42.727218,133.080673,Восточный,ДФО,МПП,51626687.692,2018,Грузы в тоннах,Владивостокский,установлен,да,не применимо,28400000.0,1.82
326,51.468998,140.774103,Де-Кастри,ДФО,МПП,12582451.0,2018,Грузы в тоннах,Хабаровский,установлен,да,не применимо,11844250.0,1.06
327,59.36793,28.233993,Ивангород,СЗФО,ЖДПП,5075087.0,2018,Грузы в тоннах,Санкт-Петербургский,установлен,да,Эстонская Республика,4088000.0,1.24
328,51.647524,34.137715,Крупец,ЦФО,АПП,450216.0,2018,Грузы в тоннах,Брянский,установлен,да,Украина,365000.0,1.23
329,42.987707,47.508277,Махачкала,СКФО,МПП,6365094.616,2018,Грузы в тоннах,Северо-Кавказский,установлен,да,не применимо,1204500.0,5.28
330,68.97922,33.068085,Мурманск,СЗФО,МПП,45271386.061,2018,Грузы в тоннах,Мурманский,установлен,да,не применимо,25516785.0,1.77
331,44.720898,37.782973,Новороссийск,ЮФО,МПП,155629603.38,2018,Грузы в тоннах,Сочинский,установлен,да,не применимо,169253.0,919.51
332,45.321156,37.368688,Темрюк,ЮФО,МПП,3658337.0,2018,Грузы в тоннах,Сочинский,установлен,да,не применимо,2977670.0,1.23
333,47.119011,39.417494,Азов,ЮФО,МПП,4927410.0,2019,Грузы в тоннах,Ростовский,установлен,да,не применимо,2685000.0,1.84
334,63.064571,179.366523,Беринговский,ДФО,МПП,554088.0,2019,Грузы в тоннах,Владивостокский,установлен,да,не применимо,309400.0,1.79
335,43.105749,131.877652,Владивосток,ДФО,МПП,19612014.0,2019,Грузы в тоннах,Владивостокский,установлен,да,не применимо,300000.0,65.37
336,42.727218,133.080673,Восточный,ДФО,МПП,74186878.559,2019,Грузы в тоннах,Владивостокский,установлен,да,не применимо,28400000.0,2.61
337,51.468998,140.774103,Де-Кастри,ДФО,МПП,13465412.715,2019,Грузы в тоннах,Хабаровский,установлен,да,не применимо,11844250.0,1.14
338,59.36793,28.233993,Ивангород,СЗФО,ЖДПП,6197916.0,2019,Грузы в тоннах,Санкт-Петербургский,установлен,да,Эстонская Республика,4088000.0,1.52
339,42.987707,47.508277,Махачкала,СКФО,МПП,6314190.529000001,2019,Грузы в тоннах,Северо-Кавказский,установлен,да,не применимо,1204500.0,5.24
340,68.97922,33.068085,Мурманск,СЗФО,МПП,44095536.958,2019,Грузы в тоннах,Мурманский,установлен,да,не применимо,25516785.0,1.73
341,44.720898,37.782973,Новороссийск,ЮФО,МПП,154699211.607,2019,Грузы в тоннах,Сочинский,установлен,да,не применимо,169253.0,914.01
342,71.219395,72.047648,Сабетта,УФО,МПП,19591090.504,2019,Грузы в тоннах,Мурманский,установлен,да,не применимо,17849960.0,1.1
343,45.321156,37.368688,Темрюк,ЮФО,МПП,4405662.0,2019,Грузы в тоннах,Сочинский,установлен,да,не применимо,2977670.0,1.48
344,49.161656,142.057986,Шахтерск,ДФО,МПП,8677007.0,2019,Грузы в тоннах,Владивостокский,установлен,да,не применимо,6999970.0,1.24
345,47.119011,39.417494,Азов,ЮФО,МПП,4310688.0,2020,Грузы в тоннах,Ростовский,установлен,да,не применимо,2685000.0,1.61
346,63.064571,179.366523,Беринговский,ДФО,МПП,739834.0,2020,Грузы в тоннах,Владивостокский,установлен,да,не применимо,309400.0,2.39
347,43.105749,131.877652,Владивосток,ДФО,МПП,21816561.0,2020,Грузы в тоннах,Владивостокский,установлен,да,не применимо,300000.0,72.72
348,42.727218,133.080673,Восточный,ДФО,МПП,76753251.866,2020,Грузы в тоннах,Владивостокский,установлен,да,не применимо,28400000.0,2.7
349,60.620042,28.563961,Высоцк,СЗФО,МПП,30167197.791,2020,Грузы в тоннах,Санкт-Петербургский,установлен,да,не применимо,27010000.0,1.12
350,51.468998,140.774103,Де-Кастри,ДФО,МПП,13160596.607,2020,Грузы в тоннах,Хабаровский,установлен,да,не применимо,11844250.0,1.11
351,59.36793,28.233993,Ивангород,СЗФО,ЖДПП,6365192.0,2020,Грузы в тоннах,Санкт-Петербургский,установлен,да,Эстонская Республика,4088000.0,1.56
352,42.987707,47.508277,Махачкала,СКФО,МПП,6925323.011,2020,Грузы в тоннах,Северо-Кавказский,установлен,да,не применимо,1204500.0,5.75
353,42.820784,47.655825,Махачкала (Уйташ),СКФО,ВПП,4321.0,2020,Грузы в тоннах,Северо-Кавказский,установлен,да,не применимо,1095.0,3.95
354,68.97922,33.068085,Мурманск,СЗФО,МПП,45391731.955,2020,Грузы в тоннах,Мурманский,установлен,да,не применимо,25516785.0,1.78
355,44.720898,37.782973,Новороссийск,ЮФО,МПП,176047369.323,2020,Грузы в тоннах,Сочинский,установлен,да,не применимо,169253.0,1040.14
356,71.219395,72.047648,Сабетта,УФО,МПП,19787024.578,2020,Грузы в тоннах,Мурманский,установлен,да,не применимо,17849960.0,1.11
357,45.321156,37.368688,Темрюк,ЮФО,МПП,4193428.0,2020,Грузы в тоннах,Сочинский,установлен,да,не применимо,2977670.0,1.41
358,49.161656,142.057986,Шахтерск,ДФО,МПП,8591061.0,2020,Грузы в тоннах,Владивостокский,установлен,да,не применимо,6999970.0,1.23
359,47.119011,39.417494,Азов,ЮФО,МПП,4329087.0,2021,Грузы в тоннах,Ростовский,установлен,да,не применимо,2685000.0,1.61
360,63.064571,179.366523,Беринговский,ДФО,МПП,890446.0,2021,Грузы в тоннах,Владивостокский,установлен,да,не применимо,309400.0,2.88
361,43.105749,131.877652,Владивосток,ДФО,МПП,24988904.1,2021,Грузы в тоннах,Владивостокский,установлен,да,не применимо,300000.0,83.3
362,42.727218,133.080673,Восточный,ДФО,МПП,67951591.031,2021,Грузы в тоннах,Владивостокский,установлен,да,не применимо,28400000.0,2.39
363,51.468998,140.774103,Де-Кастри,ДФО,МПП,12551021.275,2021,Грузы в тоннах,Хабаровский,установлен,да,не применимо,11844250.0,1.06
364,59.36793,28.233993,Ивангород,СЗФО,ЖДПП,5705163.0,2021,Грузы в тоннах,Санкт-Петербургский,установлен,да,Эстонская Республика,4088000.0,1.4
365,42.987707,47.508277,Махачкала,СКФО,МПП,5755896.465,2021,Грузы в тоннах,Северо-Кавказский,установлен,да,не применимо,1204500.0,4.78
366,42.820784,47.655825,Махачкала (Уйташ),СКФО,ВПП,46997.32999999999,2021,Грузы в тоннах,Северо-Кавказский,установлен,да,не применимо,1095.0,42.92
367,68.97922,33.068085,Мурманск,СЗФО,МПП,38651203.296,2021,Грузы в тоннах,Мурманский,установлен,да,не применимо,25516785.0,1.51
368,44.720898,37.782973,Новороссийск,ЮФО,МПП,144450561.9927,2021,Грузы в тоннах,Сочинский,установлен,да,не применимо,169253.0,853.46
369,71.219395,72.047648,Сабетта,УФО,МПП,20615288.70347,2021,Грузы в тоннах,Мурманский,установлен,да,не применимо,17849960.0,1.15
370,45.321156,37.368688,Темрюк,ЮФО,МПП,4504377.0,2021,Грузы в тоннах,Сочинский,установлен,да,не применимо,2977670.0,1.51
371,44.093643,39.074688,Туапсе,ЮФО,МПП,36283389.86499999,2021,Грузы в тоннах,Сочинский,установлен,да,не применимо,34631930.0,1.05
372,49.161656,142.057986,Шахтерск,ДФО,МПП,9949194.36,2021,Грузы в тоннах,Владивостокский,установлен,да,не применимо,6999970.0,1.42
373,53.751561,91.400039,Абакан,СФО,ВПП,9091.155,2022,Грузы в тоннах,Новосибирский,установлен,да,не применимо,1095.0,8.3
