Наименование пункта пропуска,Филиал,latitude,longitude,Федеральный округ,Вид,Количество,Год,Категория,Установлен / закрыт,Функционирует/не функционирует,Количество по паспорту,Количество (Факт/Паспорт),Сопредельное государство
Илек-Пеньковка,Белгородский,50.751077,35.539322,ЦФО,ЖДПП,0,2017,Число людей,установлен,да,0,0.0,Украина
"Илецк-1 (Жайсан, Шынгырлау)",Уральский,51.1568999998271,54.9952999986708,ПФО,ЖДПП,487154,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Инари,Санкт-Петербургский,63.304965,31.004307,СЗФО,АПП,4837,2017,Число людей,установлен,да,0,0.0,Финляндская Республика
Иртышское (Валиханово),Новосибирский,53.9109000004827,74.9037999995053,СФО,ЖДПП,16905,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Исилькуль,Новосибирский,54.9219999983907,71.0168999992311,СФО,АПП,773314,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Исилькуль,Новосибирский,54.909388,71.263429,СФО,ЖДПП,406342,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Кавказ,Сочинский,45.341123,36.675162,ЮФО,МПП,30880,2017,Число людей,установлен,да,876000,0.04,утратило значение (Украина)
Казанское,Уральский,55.393328,69.338667,УФО,АПП,438183,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Кайсацкое,Волгоградский,49.743903,46.84589,ЮФО,ЖДПП,1990,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Кани-Курган,Хабаровский,50.197449,127.641475,ДФО,АПП,0,2017,Число людей,установлен,да,0,0.0,Китайская Народная Республика
Карасук,Новосибирский,53.752359,78.053926,СФО,ЖДПП,24206,2017,Число людей,установлен,да,182500,0.13,Республика Казахстан
Караузек,Волгоградский,46.545927,48.637239,ЮФО,АПП,949673,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
"Карталы (Аксу, Бускуль)",Уральский,53.052333,60.643455,УФО,ЖДПП,60784,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Кварцитный,Уральский,54.0258076869129,61.7458551561277,УФО,ЖДПП,0,2017,Число людей,установлен,нет,0,0.0,Республика Казахстан
Колотиловка,Белгородский,50.813564,35.415016,ЦФО,АПП,135180,2017,Число людей,установлен,да,0,0.0,Украина
Комсомольский,Уральский,51.576089,60.615823,ПФО,АПП,16716,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Константиновка,Хабаровский,49.6167,127.9833,ДФО,СПП,0,2017,Число людей,установлен,нет,0,0.0,Китайская Народная Республика
Краскино,Владивостокский,42.768502,130.470716,ДФО,АПП,354719,2017,Число людей,установлен,да,0,0.0,Китайская Народная Республика
Крупец,Брянский,51.647524,34.137715,ЦФО,АПП,291521,2017,Число людей,установлен,да,598600,0.49,Украина
