,Федеральный округ,Вид,Тип контроля,Процент контроля
1631,СЗФО,ППП,Ветеринарный,100.0
1633,ПФО,ВПП,Ветеринарный,87.0
1634,ПФО,АПП,Ветеринарный,0.0
1636,ПФО,ЖДПП,Ветеринарный,0.0
1639,СФО,ЖДПП,Ветеринарный,0.0
1705,СКФО,МПП,Ветеринарный,100.0
1791,СЗФО,РПП,Ветеринарный,33.0
1802,УФО,МПП,Ветеринарный,100.0
1829,СЗФО,ОПП,Ветеринарный,0.0
1871,ДФО,РПП,Ветеринарный,100.0
1881,СФО,РПП,Ветеринарный,0.0
1900,ДФО,АПП,Транспортный,30.0
1901,СФО,ВПП,Транспортный,0.0
1902,ЮФО,АПП,Транспортный,58.0
1903,ЮФО,ЖДПП,Транспортный,0.0
1904,ЮФО,МПП,Транспортный,30.0
1907,ДФО,МПП,Транспортный,3.0
1909,ДФО,СПП,Транспортный,55.0
1911,ДФО,ВПП,Транспортный,9.0
1913,ЮФО,ВПП,Транспортный,0.0
1916,СЗФО,МПП,Транспортный,7.0
1917,СЗФО,ВПП,Транспортный,11.0
1918,СФО,АПП,Транспортный,17.0
1921,СЗФО,АПП,Транспортный,77.0
1922,СЗФО,ЖДПП,Транспортный,0.0
1924,ЦФО,АПП,Транспортный,68.0
1926,ЦФО,ВПП,Транспортный,6.0
1927,ЦФО,ЖДПП,Транспортный,7.0
1931,ДФО,ППП,Транспортный,0.0
1943,УФО,АПП,Транспортный,0.0
1945,УФО,ЖДПП,Транспортный,0.0
1954,СКФО,АПП,Транспортный,100.0
1961,СКФО,ВПП,Транспортный,43.0
1986,СКФО,ЖДПП,Транспортный,0.0
1990,СФО,МПП,Транспортный,0.0
1998,УФО,ВПП,Транспортный,0.0
2004,ДФО,ЖДПП,Транспортный,0.0
2011,СЗФО,ППП,Транспортный,0.0
2013,ПФО,ВПП,Транспортный,0.0
2014,ПФО,АПП,Транспортный,0.0
2016,ПФО,ЖДПП,Транспортный,0.0
2019,СФО,ЖДПП,Транспортный,0.0
2085,СКФО,МПП,Транспортный,0.0
2171,СЗФО,РПП,Транспортный,0.0
2182,УФО,МПП,Транспортный,0.0
2209,СЗФО,ОПП,Транспортный,0.0
2251,ДФО,РПП,Транспортный,0.0
2261,СФО,РПП,Транспортный,0.0
